sample	hla	p_ijk	pi
Apher1	HLA-A03:01	8.054e+02	7.045e-01
Apher1	HLA-A29:02	2.448e+01	2.584e-02
Apher1	HLA-B44:02	7.829e+01	8.818e-02
Apher1	HLA-B44:03	1.913e+02	1.768e-01
Apher1	HLA-C12:03	5.358e-01	1.757e-03
Apher1	HLA-C16:01	1.020e+00	2.910e-03
Apher6	HLA-A02:01	3.635e+00	1.433e-02
Apher6	HLA-A03:01	2.351e+02	6.435e-01
Apher6	HLA-B07:02	1.152e+02	3.371e-01
Apher6	HLA-C07:02	1.064e+00	5.086e-03
Bcell	HLA-A01:01	1.013e+01	7.443e-03
Bcell	HLA-A03:01	6.270e+02	2.588e-01
Bcell	HLA-B07:02	9.037e+02	3.880e-01
Bcell	HLA-B27:05	7.065e+02	3.141e-01
Bcell	HLA-C02:02	5.555e-01	7.778e-04
Bcell	HLA-C07:01	4.706e+01	3.089e-02
CA46	HLA-A26:03	4.250e+00	1.710e-02
CA46	HLA-B27:04	4.145e+02	8.996e-01
CA46	HLA-C12:02	2.728e+01	8.326e-02
CD165	HLA-A02:05	1.761e+02	1.827e-01
CD165	HLA-A24:02	3.082e+00	6.068e-03
CD165	HLA-B15:01	4.210e+02	4.221e-01
CD165	HLA-B50:01	3.669e+02	3.467e-01
CD165	HLA-C03:03	3.877e-01	1.527e-03
CD165	HLA-C06:02	2.844e+01	4.088e-02
CM467	HLA-A01:01	1.209e+01	1.582e-02
CM467	HLA-A24:02	9.651e+00	1.232e-02
CM467	HLA-B13:02	8.214e+02	5.661e-01
CM467	HLA-B39:06	5.217e+02	3.767e-01
CM467	HLA-C06:02	1.985e+01	2.532e-02
CM467	HLA-C12:03	1.387e+00	3.740e-03
Fibroblast	HLA-A03:01	4.743e+02	4.827e-01
Fibroblast	HLA-A23:01	5.384e+00	1.140e-02
Fibroblast	HLA-B08:01	1.235e+01	1.584e-02
Fibroblast	HLA-B15:18	3.662e+02	3.566e-01
Fibroblast	HLA-C07:02	6.705e+00	1.192e-02
Fibroblast	HLA-C07:04	1.060e+02	1.215e-01
GD149	HLA-A01:01	2.729e+01	2.243e-02
GD149	HLA-A24:02	6.529e+00	6.073e-03
GD149	HLA-B38:01	1.284e+03	6.682e-01
GD149	HLA-B44:03	4.932e+02	2.926e-01
GD149	HLA-C06:02	8.931e+00	9.431e-03
GD149	HLA-C12:03	5.085e-01	1.235e-03
HCC1143	HLA-A31:01	4.109e+02	7.444e-01
HCC1143	HLA-B35:08	1.637e+01	4.547e-02
HCC1143	HLA-B37:01	1.024e+02	1.942e-01
HCC1143	HLA-C04:01	7.076e-02	5.077e-04
HCC1143	HLA-C06:02	4.276e+00	1.548e-02
HCC1937	HLA-A23:01	7.193e+00	1.357e-02
HCC1937	HLA-A24:02	3.228e+01	4.318e-02
HCC1937	HLA-B07:02	1.482e+02	1.651e-01
HCC1937	HLA-B40:01	7.747e+02	7.520e-01
HCC1937	HLA-C03:04	5.049e-01	2.308e-03
HCC1937	HLA-C07:02	1.417e+01	2.386e-02
HCT116	HLA-A01:01	3.083e+01	5.410e-02
HCT116	HLA-A02:01	7.531e+01	1.082e-01
HCT116	HLA-B18:01	3.586e+01	5.342e-02
HCT116	HLA-B45:01	6.708e+02	7.757e-01
HCT116	HLA-C05:01	1.537e+00	4.853e-03
HCT116	HLA-C07:01	1.672e+00	3.667e-03
HEK293	HLA-A03:01	9.310e+02	9.817e-01
HEK293	HLA-B07:02	1.255e+01	1.690e-02
HEK293	HLA-C07:02	4.769e-01	1.369e-03
HL-60	HLA-A01:01	4.362e+00	3.655e-03
HL-60	HLA-B57:01	1.058e+03	9.040e-01
HL-60	HLA-C06:02	1.066e+02	9.234e-02
HLA-A01:01	HLA-A01:01	1.136e+03	1.000e+00
HLA-A01:03	HLA-A01:03	2.000e+00	1.000e+00
HLA-A02:01	HLA-A02:01	2.359e+03	1.000e+00
HLA-A02:03	HLA-A02:03	3.760e+02	1.000e+00
HLA-A02:04	HLA-A02:04	5.880e+02	1.000e+00
HLA-A02:05	HLA-A02:05	6.400e+01	1.000e+00
HLA-A02:07	HLA-A02:07	7.600e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	8.280e+02	1.000e+00
HLA-A03:02	HLA-A03:02	3.000e+00	1.000e+00
HLA-A11:01	HLA-A11:01	5.420e+02	1.000e+00
HLA-A23:01	HLA-A23:01	2.600e+01	1.000e+00
HLA-A24:02	HLA-A24:02	1.146e+03	1.000e+00
HLA-A24:06	HLA-A24:06	5.900e+01	1.000e+00
HLA-A24:13	HLA-A24:13	4.600e+01	1.000e+00
HLA-A26:01	HLA-A26:01	3.100e+01	1.000e+00
HLA-A26:03	HLA-A26:03	1.000e+00	1.000e+00
HLA-A29:02	HLA-A29:02	1.391e+03	1.000e+00
HLA-A30:01	HLA-A30:01	2.000e+00	1.000e+00
HLA-A30:02	HLA-A30:02	6.000e+00	1.000e+00
HLA-A30:03	HLA-A30:03	2.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.240e+02	1.000e+00
HLA-A32:01	HLA-A32:01	1.090e+02	1.000e+00
HLA-A66:01	HLA-A66:01	9.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	5.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	2.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.130e+02	1.000e+00
HLA-B07:02	HLA-B07:02	2.026e+03	1.000e+00
HLA-B08:01	HLA-B08:01	8.660e+02	1.000e+00
HLA-B13:01	HLA-B13:01	1.000e+01	1.000e+00
HLA-B13:02	HLA-B13:02	6.000e+00	1.000e+00
HLA-B14:02	HLA-B14:02	5.000e+01	1.000e+00
HLA-B14:03	HLA-B14:03	1.000e+00	1.000e+00
HLA-B15:01	HLA-B15:01	1.262e+03	1.000e+00
HLA-B15:02	HLA-B15:02	5.150e+02	1.000e+00
HLA-B15:08	HLA-B15:08	4.000e+00	1.000e+00
HLA-B15:09	HLA-B15:09	2.000e+00	1.000e+00
HLA-B15:10	HLA-B15:10	2.000e+00	1.000e+00
HLA-B15:11	HLA-B15:11	3.100e+01	1.000e+00
HLA-B15:13	HLA-B15:13	1.000e+00	1.000e+00
HLA-B15:17	HLA-B15:17	5.000e+00	1.000e+00
HLA-B15:18	HLA-B15:18	1.000e+00	1.000e+00
