sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.153e+03	8.985e-01
Apher1	HLA-A29:02	1.001e+01	1.215e-02
Apher1	HLA-B44:02	2.170e+01	2.885e-02
Apher1	HLA-B44:03	5.592e+01	5.860e-02
Apher1	HLA-C12:03	2.983e-02	3.020e-04
Apher1	HLA-C16:01	7.796e-01	1.562e-03
Apher6	HLA-A02:01	1.128e+01	3.031e-02
Apher6	HLA-A03:01	3.371e+02	7.595e-01
Apher6	HLA-B07:02	8.167e+01	2.101e-01
Apher6	HLA-C07:02	6.954e-04	1.111e-04
Bcell	HLA-A01:01	1.941e+01	1.203e-02
Bcell	HLA-A03:01	8.230e+02	3.199e-01
Bcell	HLA-B07:02	3.834e+02	1.754e-01
Bcell	HLA-B27:05	1.176e+03	4.904e-01
Bcell	HLA-C02:02	3.574e-02	1.450e-04
Bcell	HLA-C07:01	6.361e-01	2.111e-03
CA46	HLA-A26:03	2.871e-05	8.252e-06
CA46	HLA-B27:04	5.035e+02	9.929e-01
CA46	HLA-C12:02	1.510e+00	7.111e-03
CD165	HLA-A02:05	7.421e+02	6.142e-01
CD165	HLA-A24:02	9.114e-01	3.234e-03
CD165	HLA-B15:01	3.002e+02	3.084e-01
CD165	HLA-B50:01	5.377e+01	6.988e-02
CD165	HLA-C03:03	4.634e-02	3.060e-04
CD165	HLA-C06:02	9.613e-01	3.972e-03
CM467	HLA-A01:01	1.603e+01	1.977e-02
CM467	HLA-A24:02	1.891e+00	4.330e-03
CM467	HLA-B13:02	1.307e+03	8.785e-01
CM467	HLA-B39:06	8.938e+01	9.456e-02
CM467	HLA-C06:02	8.147e-01	2.625e-03
CM467	HLA-C12:03	2.397e-02	2.249e-04
Fibroblast	HLA-A03:01	3.243e+02	2.992e-01
Fibroblast	HLA-A23:01	9.934e-01	4.062e-03
Fibroblast	HLA-B08:01	3.494e+01	3.267e-02
Fibroblast	HLA-B15:18	1.666e+00	6.136e-03
Fibroblast	HLA-C07:02	2.575e-02	3.695e-04
Fibroblast	HLA-C07:04	7.611e+02	6.575e-01
GD149	HLA-A01:01	7.924e+01	5.408e-02
GD149	HLA-A24:02	7.888e-01	2.004e-03
GD149	HLA-B38:01	1.536e+03	7.367e-01
GD149	HLA-B44:03	3.387e+02	2.036e-01
GD149	HLA-C06:02	2.055e+00	3.553e-03
GD149	HLA-C12:03	1.763e-02	1.318e-04
HCC1143	HLA-A31:01	3.588e+02	6.634e-01
HCC1143	HLA-B35:08	5.017e+00	1.744e-02
HCC1143	HLA-B37:01	1.773e+02	3.134e-01
HCC1143	HLA-C04:01	4.043e-02	4.149e-04
HCC1143	HLA-C06:02	8.773e-01	5.292e-03
HCC1937	HLA-A23:01	4.960e+00	1.626e-02
HCC1937	HLA-A24:02	1.046e+01	1.940e-02
HCC1937	HLA-B07:02	2.744e+02	2.982e-01
HCC1937	HLA-B40:01	6.611e+02	6.647e-01
HCC1937	HLA-C03:04	7.494e-02	4.643e-04
HCC1937	HLA-C07:02	6.905e-02	9.569e-04
HCT116	HLA-A01:01	5.239e+01	8.330e-02
HCT116	HLA-A02:01	2.048e+02	2.464e-01
HCT116	HLA-B18:01	1.081e+01	1.833e-02
HCT116	HLA-B45:01	5.807e+02	6.426e-01
HCT116	HLA-C05:01	4.202e+00	8.680e-03
HCT116	HLA-C07:01	8.923e-02	7.112e-04
