sample	hla	p_ijk	pi
Apher1	HLA-A03:01	9.087e+02	7.313e-01
Apher1	HLA-A29:02	2.452e+01	2.702e-02
Apher1	HLA-B44:02	4.967e+01	5.724e-02
Apher1	HLA-B44:03	2.193e+02	1.817e-01
Apher1	HLA-C12:03	4.529e-02	3.884e-04
Apher1	HLA-C16:01	8.065e-01	2.283e-03
Apher6	HLA-A02:01	9.385e+00	2.828e-02
Apher6	HLA-A03:01	3.242e+02	8.223e-01
Apher6	HLA-B07:02	4.640e+01	1.492e-01
Apher6	HLA-C07:02	3.088e-03	2.600e-04
Bcell	HLA-A01:01	6.112e+01	3.212e-02
Bcell	HLA-A03:01	1.298e+03	4.910e-01
Bcell	HLA-B07:02	2.970e+02	1.412e-01
Bcell	HLA-B27:05	7.956e+02	3.309e-01
Bcell	HLA-C02:02	1.481e-01	3.690e-04
Bcell	HLA-C07:01	2.537e+00	4.400e-03
CA46	HLA-A26:03	2.184e-04	1.624e-05
CA46	HLA-B27:04	3.515e+02	7.700e-01
CA46	HLA-C12:02	1.115e+02	2.300e-01
CD165	HLA-A02:05	6.571e+02	5.748e-01
CD165	HLA-A24:02	2.081e+00	5.576e-03
CD165	HLA-B15:01	3.754e+02	3.909e-01
CD165	HLA-B50:01	1.012e+01	2.259e-02
CD165	HLA-C03:03	2.167e-02	2.094e-04
CD165	HLA-C06:02	1.343e+00	5.888e-03
CM467	HLA-A01:01	2.040e+01	2.253e-02
CM467	HLA-A24:02	4.459e+00	7.043e-03
CM467	HLA-B13:02	1.384e+03	8.711e-01
CM467	HLA-B39:06	9.570e+01	9.472e-02
CM467	HLA-C06:02	1.313e+00	4.144e-03
CM467	HLA-C12:03	8.474e-02	4.503e-04
Fibroblast	HLA-A03:01	2.010e+02	2.131e-01
Fibroblast	HLA-A23:01	7.712e+00	1.425e-02
Fibroblast	HLA-B08:01	6.395e+00	8.911e-03
Fibroblast	HLA-B15:18	3.425e+00	8.602e-03
Fibroblast	HLA-C07:02	7.028e-02	6.499e-04
Fibroblast	HLA-C07:04	7.734e+02	7.545e-01
GD149	HLA-A01:01	1.210e+02	7.706e-02
GD149	HLA-A24:02	2.103e+00	3.383e-03
GD149	HLA-B38:01	1.066e+03	5.349e-01
GD149	HLA-B44:03	7.159e+02	3.806e-01
GD149	HLA-C06:02	1.574e+00	3.896e-03
GD149	HLA-C12:03	3.566e-02	1.987e-04
HCC1143	HLA-A31:01	5.099e+02	8.623e-01
HCC1143	HLA-B35:08	1.088e+01	3.397e-02
HCC1143	HLA-B37:01	4.463e+01	9.915e-02
HCC1143	HLA-C04:01	2.242e-02	3.158e-04
HCC1143	HLA-C06:02	5.344e-01	4.306e-03
HCC1937	HLA-A23:01	7.124e+01	9.420e-02
HCC1937	HLA-A24:02	1.415e+01	2.454e-02
HCC1937	HLA-B07:02	1.073e+02	1.247e-01
HCC1937	HLA-B40:01	8.042e+02	7.549e-01
HCC1937	HLA-C03:04	8.726e-02	4.712e-04
HCC1937	HLA-C07:02	1.098e-01	1.191e-03
HCT116	HLA-A01:01	9.706e+01	1.486e-01
HCT116	HLA-A02:01	2.323e+02	2.791e-01
HCT116	HLA-B18:01	2.668e+01	4.007e-02
HCT116	HLA-B45:01	4.325e+02	5.251e-01
HCT116	HLA-C05:01	1.929e+00	5.084e-03
HCT116	HLA-C07:01	4.772e-01	2.039e-03
HEK293	HLA-A03:01	9.173e+02	9.979e-01
HEK293	HLA-B07:02	7.359e-01	1.866e-03
HEK293	HLA-C07:02	7.078e-03	2.044e-04
HL-60	HLA-A01:01	4.350e+00	4.408e-03
HL-60	HLA-B57:01	1.276e+03	9.900e-01
HL-60	HLA-C06:02	1.867e+00	5.641e-03
HLA-A01:01	HLA-A01:01	1.291e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.871e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.580e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.240e+02	1.000e+00
HLA-A02:05	HLA-A02:05	2.900e+01	1.000e+00
HLA-A02:06	HLA-A02:06	1.000e+00	1.000e+00
HLA-A02:07	HLA-A02:07	4.660e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	5.990e+02	1.000e+00
HLA-A11:01	HLA-A11:01	3.410e+02	1.000e+00
HLA-A23:01	HLA-A23:01	2.000e+00	1.000e+00
HLA-A24:02	HLA-A24:02	1.010e+03	1.000e+00
HLA-A24:06	HLA-A24:06	3.200e+01	1.000e+00
HLA-A24:13	HLA-A24:13	1.000e+01	1.000e+00
HLA-A25:01	HLA-A25:01	1.000e+00	1.000e+00
HLA-A26:01	HLA-A26:01	2.300e+01	1.000e+00
HLA-A29:02	HLA-A29:02	1.096e+03	1.000e+00
HLA-A30:01	HLA-A30:01	2.000e+00	1.000e+00
HLA-A30:02	HLA-A30:02	2.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.090e+02	1.000e+00
HLA-A32:01	HLA-A32:01	5.300e+01	1.000e+00
HLA-A66:01	HLA-A66:01	7.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	5.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	2.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.330e+02	1.000e+00
HLA-B07:02	HLA-B07:02	2.026e+03	1.000e+00
HLA-B08:01	HLA-B08:01	6.360e+02	1.000e+00
HLA-B13:01	HLA-B13:01	9.000e+00	1.000e+00
HLA-B13:02	HLA-B13:02	8.000e+00	1.000e+00
HLA-B14:02	HLA-B14:02	4.100e+01	1.000e+00
HLA-B14:03	HLA-B14:03	3.000e+00	1.000e+00
HLA-B15:01	HLA-B15:01	1.165e+03	1.000e+00
HLA-B15:02	HLA-B15:02	3.490e+02	1.000e+00
HLA-B15:03	HLA-B15:03	1.000e+00	1.000e+00
HLA-B15:08	HLA-B15:08	3.000e+00	1.000e+00
HLA-B15:09	HLA-B15:09	2.000e+00	1.000e+00
HLA-B15:10	HLA-B15:10	3.000e+00	1.000e+00
HLA-B15:11	HLA-B15:11	9.000e+00	1.000e+00
HLA-B15:16	HLA-B15:16	1.000e+00	1.000e+00
HLA-B15:17	HLA-B15:17	1.000e+00	1.000e+00
HLA-B15:42	HLA-B15:42	1.000e+00	1.000e+00
HLA-B18:01	HLA-B18:01	1.330e+02	1.000e+00
HLA-B18:03	HLA-B18:03	1.300e+01	1.000e+00
HLA-B27:01	HLA-B27:01	4.320e+02	1.000e+00
HLA-B27:02	HLA-B27:02	2.660e+02	1.000e+00
HLA-B27:03	HLA-B27:03	1.000e+01	1.000e+00
HLA-B27:04	HLA-B27:04	2.800e+01	1.000e+00
HLA-B27:05	HLA-B27:05	2.840e+02	1.000e+00
HLA-B27:06	HLA-B27:06	3.500e+01	1.000e+00
HLA-B27:07	HLA-B27:07	5.500e+01	1.000e+00
HLA-B27:08	HLA-B27:08	9.600e+01	1.000e+00
HLA-B27:09	HLA-B27:09	3.590e+02	1.000e+00
HLA-B35:01	HLA-B35:01	2.880e+02	1.000e+00
HLA-B35:02	HLA-B35:02	4.000e+00	1.000e+00
HLA-B35:03	HLA-B35:03	1.100e+01	1.000e+00
HLA-B35:04	HLA-B35:04	1.000e+00	1.000e+00
HLA-B35:06	HLA-B35:06	1.000e+00	1.000e+00
HLA-B35:08	HLA-B35:08	2.600e+01	1.000e+00
HLA-B37:01	HLA-B37:01	1.000e+01	1.000e+00
HLA-B38:01	HLA-B38:01	1.000e+00	1.000e+00
HLA-B39:01	HLA-B39:01	1.530e+02	1.000e+00
HLA-B39:05	HLA-B39:05	1.000e+00	1.000e+00
HLA-B39:06	HLA-B39:06	8.200e+01	1.000e+00
HLA-B39:10	HLA-B39:10	2.000e+00	1.000e+00
HLA-B39:24	HLA-B39:24	3.300e+01	1.000e+00
HLA-B40:01	HLA-B40:01	2.410e+02	1.000e+00
HLA-B40:02	HLA-B40:02	1.056e+03	1.000e+00
HLA-B41:01	HLA-B41:01	4.900e+01	1.000e+00
HLA-B41:02	HLA-B41:02	1.000e+00	1.000e+00
HLA-B41:03	HLA-B41:03	9.000e+00	1.000e+00
HLA-B41:04	HLA-B41:04	7.000e+00	1.000e+00
HLA-B41:05	HLA-B41:05	4.000e+00	1.000e+00
HLA-B41:06	HLA-B41:06	6.000e+00	1.000e+00
HLA-B44:02	HLA-B44:02	5.150e+02	1.000e+00
HLA-B44:03	HLA-B44:03	3.890e+02	1.000e+00
HLA-B44:08	HLA-B44:08	5.000e+00	1.000e+00
HLA-B44:09	HLA-B44:09	1.100e+01	1.000e+00
HLA-B44:27	HLA-B44:27	5.000e+00	1.000e+00
HLA-B44:28	HLA-B44:28	5.000e+00	1.000e+00
HLA-B45:01	HLA-B45:01	8.900e+01	1.000e+00
HLA-B46:01	HLA-B46:01	2.260e+02	1.000e+00
HLA-B47:01	HLA-B47:01	3.000e+00	1.000e+00
HLA-B49:01	HLA-B49:01	1.400e+01	1.000e+00
HLA-B50:01	HLA-B50:01	5.300e+01	1.000e+00
HLA-B51:01	HLA-B51:01	6.280e+02	1.000e+00
HLA-B51:08	HLA-B51:08	5.400e+01	1.000e+00
HLA-B52:01	HLA-B52:01	1.000e+00	1.000e+00
