sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.073e+03	8.695e-01
Apher1	HLA-A29:02	1.844e+01	1.866e-02
Apher1	HLA-B44:02	2.165e+01	3.073e-02
Apher1	HLA-B44:03	7.456e+01	7.922e-02
Apher1	HLA-C12:03	1.188e-01	5.304e-04
Apher1	HLA-C16:01	6.044e-01	1.412e-03
Apher6	HLA-A02:01	9.627e+00	3.065e-02
Apher6	HLA-A03:01	2.565e+02	6.631e-01
Apher6	HLA-B07:02	1.139e+02	3.058e-01
Apher6	HLA-C07:02	6.657e-03	4.589e-04
Bcell	HLA-A01:01	1.901e+01	1.054e-02
Bcell	HLA-A03:01	6.539e+02	2.493e-01
Bcell	HLA-B07:02	7.141e+02	2.802e-01
Bcell	HLA-B27:05	1.136e+03	4.548e-01
Bcell	HLA-C02:02	7.522e-02	2.375e-04
Bcell	HLA-C07:01	2.960e+00	4.948e-03
CA46	HLA-A26:03	9.604e-05	1.025e-05
CA46	HLA-B27:04	4.018e+02	8.809e-01
CA46	HLA-C12:02	5.424e+01	1.191e-01
CD165	HLA-A02:05	6.292e+02	5.507e-01
CD165	HLA-A24:02	1.422e+00	3.677e-03
CD165	HLA-B15:01	3.822e+02	3.973e-01
CD165	HLA-B50:01	1.945e+01	3.871e-02
CD165	HLA-C03:03	3.400e-02	3.026e-04
CD165	HLA-C06:02	2.672e+00	9.340e-03
CM467	HLA-A01:01	2.184e+01	2.538e-02
CM467	HLA-A24:02	4.847e+00	7.881e-03
CM467	HLA-B13:02	1.374e+03	9.116e-01
CM467	HLA-B39:06	4.127e+01	5.014e-02
CM467	HLA-C06:02	1.431e+00	4.654e-03
CM467	HLA-C12:03	5.250e-02	3.915e-04
Fibroblast	HLA-A03:01	1.677e+02	1.912e-01
Fibroblast	HLA-A23:01	5.334e+00	1.040e-02
Fibroblast	HLA-B08:01	2.717e+01	2.919e-02
Fibroblast	HLA-B15:18	2.724e+00	7.473e-03
Fibroblast	HLA-C07:02	4.262e-02	5.588e-04
Fibroblast	HLA-C07:04	8.070e+02	7.612e-01
GD149	HLA-A01:01	8.313e+01	5.610e-02
GD149	HLA-A24:02	3.086e+00	4.505e-03
GD149	HLA-B38:01	1.345e+03	6.570e-01
GD149	HLA-B44:03	4.641e+02	2.747e-01
GD149	HLA-C06:02	4.318e+00	7.355e-03
GD149	HLA-C12:03	8.238e-02	3.480e-04
HCC1143	HLA-A31:01	4.150e+02	7.500e-01
HCC1143	HLA-B35:08	6.334e+00	2.172e-02
HCC1143	HLA-B37:01	1.184e+02	2.177e-01
HCC1143	HLA-C04:01	3.924e-02	2.872e-04
HCC1143	HLA-C06:02	2.263e+00	1.024e-02
HCC1937	HLA-A23:01	1.567e+02	1.738e-01
HCC1937	HLA-A24:02	2.819e+01	3.751e-02
HCC1937	HLA-B07:02	4.116e+02	3.805e-01
HCC1937	HLA-B40:01	4.171e+02	4.049e-01
HCC1937	HLA-C03:04	1.215e-01	6.764e-04
HCC1937	HLA-C07:02	3.364e-01	2.574e-03
HCT116	HLA-A01:01	9.529e+01	1.273e-01
HCT116	HLA-A02:01	2.532e+02	2.923e-01
HCT116	HLA-B18:01	3.092e+01	4.162e-02
HCT116	HLA-B45:01	4.747e+02	5.322e-01
HCT116	HLA-C05:01	1.250e+00	4.288e-03
HCT116	HLA-C07:01	5.884e-01	2.310e-03
HEK293	HLA-A03:01	1.015e+03	9.851e-01
HEK293	HLA-B07:02	1.205e+01	1.465e-02
HEK293	HLA-C07:02	1.016e-02	2.361e-04
HL-60	HLA-A01:01	4.804e-01	1.038e-03
HL-60	HLA-B57:01	1.243e+03	9.809e-01
HL-60	HLA-C06:02	1.085e+01	1.810e-02
HLA-A01:01	HLA-A01:01	1.372e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.850e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.790e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.100e+02	1.000e+00
HLA-A02:05	HLA-A02:05	3.500e+01	1.000e+00
HLA-A02:07	HLA-A02:07	4.550e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	6.550e+02	1.000e+00
HLA-A11:01	HLA-A11:01	3.820e+02	1.000e+00
HLA-A23:01	HLA-A23:01	3.000e+00	1.000e+00
HLA-A24:02	HLA-A24:02	1.052e+03	1.000e+00
HLA-A24:06	HLA-A24:06	2.600e+01	1.000e+00
HLA-A24:13	HLA-A24:13	1.300e+01	1.000e+00
HLA-A26:01	HLA-A26:01	3.000e+01	1.000e+00
HLA-A26:03	HLA-A26:03	1.000e+00	1.000e+00
HLA-A29:02	HLA-A29:02	1.157e+03	1.000e+00
HLA-A30:01	HLA-A30:01	2.000e+00	1.000e+00
HLA-A30:02	HLA-A30:02	1.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.280e+02	1.000e+00
HLA-A32:01	HLA-A32:01	5.400e+01	1.000e+00
HLA-A66:01	HLA-A66:01	8.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	3.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	2.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.290e+02	1.000e+00
HLA-B07:02	HLA-B07:02	2.080e+03	1.000e+00
HLA-B08:01	HLA-B08:01	6.930e+02	1.000e+00
HLA-B13:01	HLA-B13:01	9.000e+00	1.000e+00
HLA-B13:02	HLA-B13:02	6.000e+00	1.000e+00
HLA-B14:02	HLA-B14:02	3.300e+01	1.000e+00
HLA-B14:03	HLA-B14:03	1.000e+00	1.000e+00
HLA-B15:01	HLA-B15:01	1.086e+03	1.000e+00
HLA-B15:02	HLA-B15:02	3.890e+02	1.000e+00
HLA-B15:08	HLA-B15:08	2.000e+00	1.000e+00
HLA-B15:10	HLA-B15:10	1.000e+00	1.000e+00
HLA-B15:11	HLA-B15:11	1.400e+01	1.000e+00
HLA-B15:17	HLA-B15:17	2.000e+00	1.000e+00
HLA-B15:42	HLA-B15:42	1.000e+00	1.000e+00
HLA-B18:01	HLA-B18:01	1.450e+02	1.000e+00
HLA-B18:03	HLA-B18:03	1.900e+01	1.000e+00
HLA-B27:01	HLA-B27:01	4.360e+02	1.000e+00
HLA-B27:02	HLA-B27:02	2.260e+02	1.000e+00
HLA-B27:03	HLA-B27:03	1.100e+01	1.000e+00
HLA-B27:04	HLA-B27:04	3.000e+01	1.000e+00
HLA-B27:05	HLA-B27:05	2.890e+02	1.000e+00
HLA-B27:06	HLA-B27:06	2.600e+01	1.000e+00
HLA-B27:07	HLA-B27:07	4.900e+01	1.000e+00
HLA-B27:08	HLA-B27:08	8.100e+01	1.000e+00
HLA-B27:09	HLA-B27:09	3.950e+02	1.000e+00
HLA-B35:01	HLA-B35:01	2.740e+02	1.000e+00
HLA-B35:02	HLA-B35:02	2.000e+00	1.000e+00
HLA-B35:03	HLA-B35:03	1.000e+01	1.000e+00
HLA-B35:04	HLA-B35:04	1.000e+00	1.000e+00
HLA-B35:06	HLA-B35:06	1.000e+00	1.000e+00
HLA-B35:08	HLA-B35:08	2.200e+01	1.000e+00
HLA-B37:01	HLA-B37:01	5.000e+00	1.000e+00
HLA-B38:01	HLA-B38:01	1.000e+00	1.000e+00
HLA-B39:01	HLA-B39:01	1.330e+02	1.000e+00
HLA-B39:06	HLA-B39:06	5.600e+01	1.000e+00
HLA-B39:24	HLA-B39:24	2.800e+01	1.000e+00
HLA-B40:01	HLA-B40:01	2.280e+02	1.000e+00
HLA-B40:02	HLA-B40:02	1.098e+03	1.000e+00
HLA-B41:01	HLA-B41:01	5.200e+01	1.000e+00
HLA-B41:03	HLA-B41:03	5.000e+00	1.000e+00
HLA-B41:04	HLA-B41:04	1.000e+01	1.000e+00
HLA-B41:05	HLA-B41:05	1.000e+01	1.000e+00
HLA-B41:06	HLA-B41:06	4.000e+00	1.000e+00
HLA-B42:01	HLA-B42:01	1.000e+00	1.000e+00
HLA-B44:02	HLA-B44:02	4.990e+02	1.000e+00
HLA-B44:03	HLA-B44:03	3.540e+02	1.000e+00
HLA-B44:08	HLA-B44:08	2.000e+00	1.000e+00
HLA-B44:09	HLA-B44:09	1.600e+01	1.000e+00
HLA-B44:27	HLA-B44:27	1.000e+00	1.000e+00
HLA-B44:28	HLA-B44:28	6.000e+00	1.000e+00
HLA-B45:01	HLA-B45:01	7.900e+01	1.000e+00
HLA-B46:01	HLA-B46:01	2.300e+02	1.000e+00
HLA-B47:01	HLA-B47:01	6.000e+00	1.000e+00
HLA-B49:01	HLA-B49:01	2.000e+01	1.000e+00
HLA-B50:01	HLA-B50:01	6.400e+01	1.000e+00
HLA-B51:01	HLA-B51:01	6.170e+02	1.000e+00
HLA-B51:08	HLA-B51:08	4.100e+01	1.000e+00
HLA-B52:01	HLA-B52:01	1.000e+00	1.000e+00
HLA-B54:01	HLA-B54:01	1.370e+02	1.000e+00
HLA-B56:01	HLA-B56:01	7.300e+01	1.000e+00
HLA-B57:01	HLA-B57:01	2.178e+03	1.000e+00
HLA-B57:03	HLA-B57:03	3.810e+02	1.000e+00
HLA-B58:01	HLA-B58:01	2.510e+02	1.000e+00
HLA-B73:01	HLA-B73:01	2.700e+01	1.000e+00
HLA-C01:02	HLA-C01:02	2.750e+02	1.000e+00
HLA-C02:02	HLA-C02:02	1.410e+02	1.000e+00
HLA-C03:03	HLA-C03:03	2.300e+01	1.000e+00
HLA-C03:04	HLA-C03:04	1.730e+02	1.000e+00
HLA-C04:01	HLA-C04:01	2.340e+02	1.000e+00
HLA-C05:01	HLA-C05:01	4.360e+02	1.000e+00
HLA-C06:02	HLA-C06:02	2.700e+02	1.000e+00
HLA-C07:01	HLA-C07:01	2.900e+01	1.000e+00
HLA-C07:02	HLA-C07:02	1.080e+02	1.000e+00
HLA-C08:02	HLA-C08:02	4.000e+02	1.000e+00
HLA-C12:03	HLA-C12:03	1.110e+02	1.000e+00
HLA-C14:02	HLA-C14:02	3.650e+02	1.000e+00
HLA-C15:02	HLA-C15:02	2.440e+02	1.000e+00
HLA-C16:01	HLA-C16:01	3.260e+02	1.000e+00
HLA-C17:01	HLA-C17:01	4.900e+01	1.000e+00
JY	HLA-A02:01	3.207e+02	5.231e-01
JY	HLA-B07:02	2.912e+02	4.762e-01
JY	HLA-C07:02	2.164e-02	6.009e-04
LNT-229	HLA-A03:01	1.552e+03	7.682e-01
LNT-229	HLA-B35:01	4.448e+02	2.314e-01
LNT-229	HLA-C04:01	1.529e-01	3.739e-04
Line.1	HLA-A01:01	4.664e+01	4.684e-01
Line.1	HLA-A03:01	2.054e+01	2.018e-01
Line.1	HLA-B07:02	2.200e+01	2.036e-01
Line.1	HLA-B08:01	1.197e+01	1.115e-01
Line.1	HLA-C07:01	8.190e-01	1.329e-02
Line.1	HLA-C07:02	3.772e-02	1.435e-03
Line.10	HLA-A01:01	1.443e+02	3.545e-01
Line.10	HLA-A25:01	1.495e+01	5.444e-02
Line.10	HLA-B08:01	9.283e+01	1.906e-01
Line.10	HLA-B18:01	1.774e+02	3.955e-01
Line.10	HLA-C07:01	3.359e-01	2.476e-03
Line.10	HLA-C12:03	2.115e-01	2.423e-03
Line.11	HLA-A01:01	8.597e+01	1.023e-01
Line.11	HLA-A26:01	5.038e+02	4.776e-01
Line.11	HLA-B15:01	3.578e+02	3.591e-01
Line.11	HLA-B18:01	5.320e+01	5.945e-02
Line.11	HLA-C03:03	8.457e-02	5.802e-04
Line.11	HLA-C07:01	2.018e-01	8.984e-04
Line.12	HLA-A01:01	5.485e+01	1.411e-01
Line.12	HLA-A33:01	7.646e+00	2.654e-02
Line.12	HLA-B35:01	2.972e+02	6.200e-01
Line.12	HLA-B44:03	8.422e+01	2.109e-01
Line.12	HLA-C02:02	9.922e-02	1.247e-03
Line.12	HLA-C04:01	5.111e-03	1.288e-04
Line.13	HLA-A02:01	1.393e+01	1.991e-01
Line.13	HLA-A03:01	7.871e+00	1.027e-01
Line.13	HLA-B13:02	5.792e+01	6.735e-01
Line.13	HLA-B47:01	2.542e-01	2.297e-02
Line.13	HLA-C06:02	2.418e-02	1.660e-03
Line.14	HLA-A02:01	2.566e+01	5.174e-01
Line.14	HLA-A03:01	1.394e+01	2.813e-01
Line.14	HLA-B07:02	7.600e+00	1.546e-01
Line.14	HLA-B44:02	8.723e-02	4.979e-03
Line.14	HLA-C05:01	1.712e+00	4.139e-02
Line.14	HLA-C07:02	7.326e-04	2.778e-04
Line.15	HLA-A02:01	6.052e+01	2.981e-01
Line.15	HLA-A11:01	1.318e+02	6.031e-01
Line.15	HLA-B44:02	3.810e+00	3.052e-02
Line.15	HLA-B44:03	1.048e+01	6.503e-02
Line.15	HLA-C05:01	4.114e-02	1.115e-03
Line.15	HLA-C16:01	3.170e-01	2.122e-03
Line.16	HLA-A02:01	3.656e+01	4.898e-01
Line.16	HLA-A23:01	2.111e+00	3.865e-02
Line.16	HLA-B15:03	1.942e+01	2.760e-01
Line.16	HLA-B18:01	1.388e+01	1.938e-01
Line.16	HLA-C02:02	1.249e-02	8.413e-04
Line.16	HLA-C02:10	1.249e-02	8.413e-04
Line.17	HLA-A02:01	2.696e+01	8.940e-02
Line.17	HLA-A24:02	5.531e-01	4.131e-03
Line.17	HLA-B38:01	3.555e+01	1.036e-01
Line.17	HLA-B48:01	1.601e-02	1.075e-04
Line.17	HLA-C03:04	7.200e-02	1.020e-03
Line.17	HLA-C08:03	2.988e+02	8.018e-01
Line.18	HLA-A02:01	2.050e+01	7.004e-02
Line.18	HLA-A32:01	5.446e-02	7.689e-04
Line.18	HLA-B15:01	1.204e+02	3.707e-01
Line.18	HLA-B18:01	6.866e+01	2.227e-01
Line.18	HLA-C04:01	2.378e-02	3.300e-04
Line.18	HLA-C07:04	1.133e+02	3.355e-01
Line.19	HLA-A02:01	7.807e+00	1.279e-01
Line.19	HLA-A32:01	1.571e-02	8.481e-04
Line.19	HLA-B44:02	3.765e+00	8.280e-02
Line.19	HLA-B52:01	5.202e+01	7.781e-01
Line.19	HLA-C12:02	3.626e-01	8.572e-03
Line.19	HLA-C16:04	2.951e-02	1.791e-03
Line.2	HLA-A01:01	3.611e+01	2.147e-01
Line.2	HLA-A03:01	7.135e+01	3.866e-01
Line.2	HLA-B08:01	1.384e+01	7.095e-02
Line.2	HLA-B18:01	5.769e+01	3.095e-01
Line.2	HLA-C07:01	2.012e+00	1.827e-02
