sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.061e+03	7.946e-01
Apher1	HLA-A29:02	4.365e+01	4.022e-02
Apher1	HLA-B44:02	4.569e+01	4.938e-02
Apher1	HLA-B44:03	1.318e+02	1.133e-01
Apher1	HLA-C12:03	9.786e-02	5.126e-04
Apher1	HLA-C16:01	7.094e-01	2.058e-03
Apher6	HLA-A02:01	7.131e+00	2.186e-02
Apher6	HLA-A03:01	2.433e+02	6.146e-01
Apher6	HLA-B07:02	1.355e+02	3.623e-01
Apher6	HLA-C07:02	6.795e-02	1.145e-03
Bcell	HLA-A01:01	8.993e+00	6.010e-03
Bcell	HLA-A03:01	4.077e+02	1.697e-01
Bcell	HLA-B07:02	4.099e+02	1.862e-01
Bcell	HLA-B27:05	1.565e+03	6.286e-01
Bcell	HLA-C02:02	1.186e-01	3.162e-04
Bcell	HLA-C07:01	8.705e+00	9.241e-03
CA46	HLA-A26:03	2.829e-04	1.341e-05
CA46	HLA-B27:04	4.525e+02	9.780e-01
CA46	HLA-C12:02	6.545e+00	2.196e-02
CD165	HLA-A02:05	4.300e+02	3.551e-01
CD165	HLA-A24:02	3.504e+00	6.604e-03
CD165	HLA-B15:01	4.833e+02	4.396e-01
CD165	HLA-B50:01	1.807e+02	1.766e-01
CD165	HLA-C03:03	4.928e-02	2.862e-04
CD165	HLA-C06:02	1.150e+01	2.188e-02
CM467	HLA-A01:01	4.545e+00	6.346e-03
CM467	HLA-A24:02	4.614e+00	6.780e-03
CM467	HLA-B13:02	1.291e+03	8.662e-01
CM467	HLA-B39:06	1.249e+02	1.061e-01
CM467	HLA-C06:02	8.401e+00	1.408e-02
CM467	HLA-C12:03	1.242e-01	5.450e-04
Fibroblast	HLA-A03:01	1.637e+02	1.673e-01
Fibroblast	HLA-A23:01	5.340e+00	9.171e-03
Fibroblast	HLA-B08:01	1.794e+01	1.923e-02
Fibroblast	HLA-B15:18	3.504e+00	7.422e-03
Fibroblast	HLA-C07:02	2.093e-01	1.076e-03
Fibroblast	HLA-C07:04	9.123e+02	7.958e-01
GD149	HLA-A01:01	5.327e+01	3.437e-02
GD149	HLA-A24:02	8.317e+00	7.340e-03
GD149	HLA-B38:01	1.119e+03	5.223e-01
GD149	HLA-B44:03	7.794e+02	3.959e-01
GD149	HLA-C06:02	5.606e+01	3.976e-02
GD149	HLA-C12:03	8.219e-02	2.946e-04
HCC1143	HLA-A31:01	5.318e+02	8.351e-01
HCC1143	HLA-B35:08	1.593e+01	4.109e-02
HCC1143	HLA-B37:01	4.910e+01	1.021e-01
HCC1143	HLA-C04:01	3.196e-02	4.219e-04
HCC1143	HLA-C06:02	6.160e+00	2.137e-02
HCC1937	HLA-A23:01	5.132e+01	6.085e-02
HCC1937	HLA-A24:02	1.666e+01	2.331e-02
HCC1937	HLA-B07:02	1.575e+02	1.634e-01
HCC1937	HLA-B40:01	8.028e+02	7.494e-01
HCC1937	HLA-C03:04	4.714e-02	3.243e-04
HCC1937	HLA-C07:02	5.893e-01	2.743e-03
HCT116	HLA-A01:01	3.719e+01	5.579e-02
HCT116	HLA-A02:01	1.869e+02	2.168e-01
HCT116	HLA-B18:01	2.900e+01	4.107e-02
HCT116	HLA-B45:01	5.896e+02	6.689e-01
HCT116	HLA-C05:01	4.582e+00	1.093e-02
HCT116	HLA-C07:01	2.684e+00	6.532e-03
HEK293	HLA-A03:01	9.994e+02	9.875e-01
HEK293	HLA-B07:02	9.549e+00	1.209e-02
HEK293	HLA-C07:02	3.940e-02	4.455e-04
HL-60	HLA-A01:01	2.829e-01	6.353e-04
HL-60	HLA-B57:01	1.318e+03	9.746e-01
HL-60	HLA-C06:02	1.710e+01	2.472e-02
HLA-A01:01	HLA-A01:01	1.283e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.807e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.750e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.630e+02	1.000e+00
HLA-A02:05	HLA-A02:05	3.500e+01	1.000e+00
HLA-A02:07	HLA-A02:07	5.500e+02	1.000e+00
HLA-A03:01	HLA-A03:01	6.160e+02	1.000e+00
HLA-A03:02	HLA-A03:02	4.000e+00	1.000e+00
HLA-A11:01	HLA-A11:01	3.900e+02	1.000e+00
HLA-A24:02	HLA-A24:02	9.840e+02	1.000e+00
HLA-A24:06	HLA-A24:06	2.500e+01	1.000e+00
HLA-A24:13	HLA-A24:13	1.000e+01	1.000e+00
HLA-A26:01	HLA-A26:01	2.100e+01	1.000e+00
HLA-A26:02	HLA-A26:02	1.000e+00	1.000e+00
HLA-A29:02	HLA-A29:02	1.205e+03	1.000e+00
HLA-A30:01	HLA-A30:01	3.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.590e+02	1.000e+00
HLA-A32:01	HLA-A32:01	5.700e+01	1.000e+00
HLA-A66:01	HLA-A66:01	8.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	4.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	6.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.680e+02	1.000e+00
HLA-A69:01	HLA-A69:01	2.000e+00	1.000e+00
HLA-B07:02	HLA-B07:02	2.001e+03	1.000e+00
HLA-B08:01	HLA-B08:01	6.720e+02	1.000e+00
HLA-B13:01	HLA-B13:01	5.000e+00	1.000e+00
HLA-B13:02	HLA-B13:02	9.000e+00	1.000e+00
HLA-B14:02	HLA-B14:02	4.100e+01	1.000e+00
HLA-B14:03	HLA-B14:03	2.000e+00	1.000e+00
HLA-B15:01	HLA-B15:01	1.188e+03	1.000e+00
HLA-B15:02	HLA-B15:02	3.720e+02	1.000e+00
HLA-B15:08	HLA-B15:08	3.000e+00	1.000e+00
HLA-B15:10	HLA-B15:10	1.000e+00	1.000e+00
HLA-B15:11	HLA-B15:11	1.200e+01	1.000e+00
HLA-B15:16	HLA-B15:16	1.000e+00	1.000e+00
HLA-B15:17	HLA-B15:17	2.000e+00	1.000e+00
HLA-B15:18	HLA-B15:18	1.000e+00	1.000e+00
HLA-B15:42	HLA-B15:42	1.000e+00	1.000e+00
HLA-B18:01	HLA-B18:01	1.440e+02	1.000e+00
HLA-B18:03	HLA-B18:03	1.300e+01	1.000e+00
HLA-B27:01	HLA-B27:01	4.160e+02	1.000e+00
HLA-B27:02	HLA-B27:02	2.970e+02	1.000e+00
HLA-B27:03	HLA-B27:03	1.600e+01	1.000e+00
HLA-B27:04	HLA-B27:04	2.300e+01	1.000e+00
HLA-B27:05	HLA-B27:05	3.190e+02	1.000e+00
HLA-B27:06	HLA-B27:06	3.300e+01	1.000e+00
