sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.091e+03	8.735e-01
Apher1	HLA-A29:02	1.565e+01	1.763e-02
Apher1	HLA-B44:02	2.625e+01	3.446e-02
Apher1	HLA-B44:03	6.958e+01	7.308e-02
Apher1	HLA-C12:03	2.017e-02	2.661e-04
Apher1	HLA-C16:01	2.020e-01	1.113e-03
Apher6	HLA-A02:01	4.395e+00	1.475e-02
Apher6	HLA-A03:01	3.172e+02	8.033e-01
Apher6	HLA-B07:02	5.840e+01	1.818e-01
Apher6	HLA-C07:02	6.011e-04	1.650e-04
Bcell	HLA-A01:01	1.412e+01	9.247e-03
Bcell	HLA-A03:01	1.192e+03	4.462e-01
Bcell	HLA-B07:02	3.451e+02	1.667e-01
Bcell	HLA-B27:05	9.014e+02	3.749e-01
Bcell	HLA-C02:02	7.174e-02	2.217e-04
Bcell	HLA-C07:01	1.084e+00	2.679e-03
CA46	HLA-A26:03	1.481e-04	1.537e-05
CA46	HLA-B27:04	4.521e+02	9.642e-01
CA46	HLA-C12:02	1.091e+01	3.574e-02
CD165	HLA-A02:05	6.993e+02	6.213e-01
CD165	HLA-A24:02	1.369e+00	5.071e-03
CD165	HLA-B15:01	3.333e+02	3.427e-01
CD165	HLA-B50:01	1.061e+01	2.445e-02
CD165	HLA-C03:03	2.327e-02	2.186e-04
CD165	HLA-C06:02	1.393e+00	6.270e-03
CM467	HLA-A01:01	1.236e+01	1.396e-02
CM467	HLA-A24:02	2.088e+00	4.600e-03
CM467	HLA-B13:02	1.397e+03	8.879e-01
CM467	HLA-B39:06	9.361e+01	8.984e-02
CM467	HLA-C06:02	1.217e+00	3.411e-03
CM467	HLA-C12:03	4.537e-02	3.058e-04
Fibroblast	HLA-A03:01	2.650e+02	2.668e-01
Fibroblast	HLA-A23:01	2.905e+00	7.319e-03
Fibroblast	HLA-B08:01	1.092e+01	1.413e-02
Fibroblast	HLA-B15:18	2.702e+00	6.934e-03
Fibroblast	HLA-C07:02	3.319e-02	5.034e-04
Fibroblast	HLA-C07:04	7.104e+02	7.043e-01
GD149	HLA-A01:01	6.803e+01	4.599e-02
GD149	HLA-A24:02	1.211e+00	2.802e-03
GD149	HLA-B38:01	1.308e+03	6.508e-01
GD149	HLA-B44:03	5.267e+02	2.955e-01
GD149	HLA-C06:02	2.538e+00	4.739e-03
GD149	HLA-C12:03	1.742e-02	1.449e-04
HCC1143	HLA-A31:01	5.385e+02	9.203e-01
HCC1143	HLA-B35:08	3.223e+00	1.380e-02
HCC1143	HLA-B37:01	2.387e+01	6.225e-02
