sample	hla	p_ijk	pi
Apher1	HLA-A03:01	7.916e+02	6.353e-01
Apher1	HLA-A29:02	3.270e+01	3.351e-02
Apher1	HLA-B44:02	7.275e+01	7.883e-02
Apher1	HLA-B44:03	3.043e+02	2.476e-01
Apher1	HLA-C12:03	9.110e-02	5.457e-04
Apher1	HLA-C16:01	1.574e+00	4.196e-03
Apher6	HLA-A02:01	1.348e+01	4.142e-02
Apher6	HLA-A03:01	2.312e+02	5.828e-01
Apher6	HLA-B07:02	1.353e+02	3.753e-01
Apher6	HLA-C07:02	1.634e-02	4.869e-04
Bcell	HLA-A01:01	3.157e+01	1.780e-02
Bcell	HLA-A03:01	4.070e+02	1.653e-01
Bcell	HLA-B07:02	4.414e+02	2.001e-01
Bcell	HLA-B27:05	1.569e+03	6.103e-01
Bcell	HLA-C02:02	8.059e-02	2.774e-04
Bcell	HLA-C07:01	4.621e+00	6.226e-03
CA46	HLA-A26:03	3.351e-04	2.235e-05
CA46	HLA-B27:04	3.877e+02	8.304e-01
CA46	HLA-C12:02	7.533e+01	1.696e-01
CD165	HLA-A02:05	7.353e+02	6.487e-01
CD165	HLA-A24:02	1.886e+00	5.657e-03
CD165	HLA-B15:01	2.717e+02	2.874e-01
CD165	HLA-B50:01	3.481e+01	4.987e-02
CD165	HLA-C03:03	2.593e-02	2.267e-04
CD165	HLA-C06:02	2.267e+00	8.177e-03
CM467	HLA-A01:01	1.325e+01	1.520e-02
CM467	HLA-A24:02	4.092e+00	6.624e-03
CM467	HLA-B13:02	1.287e+03	8.128e-01
CM467	HLA-B39:06	1.991e+02	1.588e-01
CM467	HLA-C06:02	2.587e+00	6.111e-03
CM467	HLA-C12:03	8.853e-02	4.226e-04
Fibroblast	HLA-A03:01	8.562e+01	1.012e-01
Fibroblast	HLA-A23:01	3.418e+00	8.257e-03
Fibroblast	HLA-B08:01	1.308e+01	1.674e-02
Fibroblast	HLA-B15:18	6.727e+00	1.287e-02
Fibroblast	HLA-C07:02	1.109e-01	8.157e-04
Fibroblast	HLA-C07:04	8.830e+02	8.601e-01
GD149	HLA-A01:01	6.330e+01	4.544e-02
GD149	HLA-A24:02	1.559e+00	2.981e-03
GD149	HLA-B38:01	1.227e+03	6.074e-01
GD149	HLA-B44:03	6.107e+02	3.370e-01
GD149	HLA-C06:02	3.973e+00	6.948e-03
GD149	HLA-C12:03	5.010e-02	1.894e-04
HCC1143	HLA-A31:01	3.378e+02	5.932e-01
HCC1143	HLA-B35:08	2.353e+01	6.133e-02
HCC1143	HLA-B37:01	2.035e+02	3.382e-01
HCC1143	HLA-C04:01	1.855e-02	4.005e-04
HCC1143	HLA-C06:02	1.123e+00	6.817e-03
HCC1937	HLA-A23:01	3.310e+01	5.043e-02
HCC1937	HLA-A24:02	1.136e+01	1.965e-02
HCC1937	HLA-B07:02	1.692e+02	1.858e-01
HCC1937	HLA-B40:01	7.830e+02	7.420e-01
HCC1937	HLA-C03:04	5.207e-02	3.564e-04
HCC1937	HLA-C07:02	2.679e-01	1.694e-03
HCT116	HLA-A01:01	5.373e+01	8.640e-02
HCT116	HLA-A02:01	1.610e+02	2.094e-01
HCT116	HLA-B18:01	2.427e+01	3.724e-02
HCT116	HLA-B45:01	5.491e+02	6.578e-01
HCT116	HLA-C05:01	1.950e+00	6.128e-03
HCT116	HLA-C07:01	9.476e-01	3.059e-03
HEK293	HLA-A03:01	9.106e+02	9.888e-01
HEK293	HLA-B07:02	7.402e+00	1.076e-02
HEK293	HLA-C07:02	2.600e-02	3.984e-04
HL-60	HLA-A01:01	2.020e+00	2.375e-03
HL-60	HLA-B57:01	1.277e+03	9.908e-01
HL-60	HLA-C06:02	3.227e+00	6.869e-03
HLA-A01:01	HLA-A01:01	1.291e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.871e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.580e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.240e+02	1.000e+00
HLA-A02:05	HLA-A02:05	2.900e+01	1.000e+00
HLA-A02:06	HLA-A02:06	1.000e+00	1.000e+00
HLA-A02:07	HLA-A02:07	4.660e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	5.990e+02	1.000e+00
HLA-A11:01	HLA-A11:01	3.410e+02	1.000e+00
HLA-A23:01	HLA-A23:01	2.000e+00	1.000e+00
HLA-A24:02	HLA-A24:02	1.010e+03	1.000e+00
HLA-A24:06	HLA-A24:06	3.200e+01	1.000e+00
HLA-A24:13	HLA-A24:13	1.000e+01	1.000e+00
HLA-A25:01	HLA-A25:01	1.000e+00	1.000e+00
HLA-A26:01	HLA-A26:01	2.300e+01	1.000e+00
HLA-A29:02	HLA-A29:02	1.096e+03	1.000e+00
HLA-A30:01	HLA-A30:01	2.000e+00	1.000e+00
HLA-A30:02	HLA-A30:02	2.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.090e+02	1.000e+00
HLA-A32:01	HLA-A32:01	5.300e+01	1.000e+00
HLA-A66:01	HLA-A66:01	7.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	5.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	2.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.330e+02	1.000e+00
HLA-B07:02	HLA-B07:02	2.026e+03	1.000e+00
HLA-B08:01	HLA-B08:01	6.360e+02	1.000e+00
HLA-B13:01	HLA-B13:01	9.000e+00	1.000e+00
HLA-B13:02	HLA-B13:02	8.000e+00	1.000e+00
HLA-B14:02	HLA-B14:02	4.100e+01	1.000e+00
HLA-B14:03	HLA-B14:03	3.000e+00	1.000e+00
HLA-B15:01	HLA-B15:01	1.165e+03	1.000e+00
HLA-B15:02	HLA-B15:02	3.490e+02	1.000e+00
HLA-B15:03	HLA-B15:03	1.000e+00	1.000e+00
HLA-B15:08	HLA-B15:08	3.000e+00	1.000e+00
HLA-B15:09	HLA-B15:09	2.000e+00	1.000e+00
HLA-B15:10	HLA-B15:10	3.000e+00	1.000e+00
HLA-B15:11	HLA-B15:11	9.000e+00	1.000e+00
HLA-B15:16	HLA-B15:16	1.000e+00	1.000e+00
HLA-B15:17	HLA-B15:17	1.000e+00	1.000e+00
HLA-B15:42	HLA-B15:42	1.000e+00	1.000e+00
HLA-B18:01	HLA-B18:01	1.330e+02	1.000e+00
HLA-B18:03	HLA-B18:03	1.300e+01	1.000e+00
HLA-B27:01	HLA-B27:01	4.320e+02	1.000e+00
HLA-B27:02	HLA-B27:02	2.660e+02	1.000e+00
HLA-B27:03	HLA-B27:03	1.000e+01	1.000e+00
HLA-B27:04	HLA-B27:04	2.800e+01	1.000e+00
HLA-B27:05	HLA-B27:05	2.840e+02	1.000e+00
HLA-B27:06	HLA-B27:06	3.500e+01	1.000e+00
HLA-B27:07	HLA-B27:07	5.500e+01	1.000e+00
HLA-B27:08	HLA-B27:08	9.600e+01	1.000e+00
HLA-B27:09	HLA-B27:09	3.590e+02	1.000e+00
HLA-B35:01	HLA-B35:01	2.880e+02	1.000e+00
HLA-B35:02	HLA-B35:02	4.000e+00	1.000e+00
HLA-B35:03	HLA-B35:03	1.100e+01	1.000e+00
HLA-B35:04	HLA-B35:04	1.000e+00	1.000e+00
HLA-B35:06	HLA-B35:06	1.000e+00	1.000e+00
HLA-B35:08	HLA-B35:08	2.600e+01	1.000e+00
HLA-B37:01	HLA-B37:01	1.000e+01	1.000e+00
HLA-B38:01	HLA-B38:01	1.000e+00	1.000e+00
HLA-B39:01	HLA-B39:01	1.530e+02	1.000e+00
HLA-B39:05	HLA-B39:05	1.000e+00	1.000e+00
HLA-B39:06	HLA-B39:06	8.200e+01	1.000e+00
HLA-B39:10	HLA-B39:10	2.000e+00	1.000e+00
HLA-B39:24	HLA-B39:24	3.300e+01	1.000e+00
HLA-B40:01	HLA-B40:01	2.410e+02	1.000e+00
HLA-B40:02	HLA-B40:02	1.056e+03	1.000e+00
HLA-B41:01	HLA-B41:01	4.900e+01	1.000e+00
HLA-B41:02	HLA-B41:02	1.000e+00	1.000e+00
HLA-B41:03	HLA-B41:03	9.000e+00	1.000e+00
HLA-B41:04	HLA-B41:04	7.000e+00	1.000e+00
HLA-B41:05	HLA-B41:05	4.000e+00	1.000e+00
HLA-B41:06	HLA-B41:06	6.000e+00	1.000e+00
HLA-B44:02	HLA-B44:02	5.150e+02	1.000e+00
HLA-B44:03	HLA-B44:03	3.890e+02	1.000e+00
HLA-B44:08	HLA-B44:08	5.000e+00	1.000e+00
HLA-B44:09	HLA-B44:09	1.100e+01	1.000e+00
HLA-B44:27	HLA-B44:27	5.000e+00	1.000e+00
HLA-B44:28	HLA-B44:28	5.000e+00	1.000e+00
HLA-B45:01	HLA-B45:01	8.900e+01	1.000e+00
HLA-B46:01	HLA-B46:01	2.260e+02	1.000e+00
HLA-B47:01	HLA-B47:01	3.000e+00	1.000e+00
HLA-B49:01	HLA-B49:01	1.400e+01	1.000e+00
HLA-B50:01	HLA-B50:01	5.300e+01	1.000e+00
HLA-B51:01	HLA-B51:01	6.280e+02	1.000e+00
HLA-B51:08	HLA-B51:08	5.400e+01	1.000e+00
HLA-B52:01	HLA-B52:01	1.000e+00	1.000e+00
HLA-B54:01	HLA-B54:01	1.580e+02	1.000e+00
HLA-B56:01	HLA-B56:01	9.100e+01	1.000e+00
HLA-B57:01	HLA-B57:01	2.228e+03	1.000e+00
HLA-B57:02	HLA-B57:02	1.000e+00	1.000e+00
HLA-B57:03	HLA-B57:03	3.440e+02	1.000e+00
HLA-B58:01	HLA-B58:01	2.390e+02	1.000e+00
HLA-B73:01	HLA-B73:01	3.100e+01	1.000e+00
HLA-C01:02	HLA-C01:02	3.050e+02	1.000e+00
HLA-C02:02	HLA-C02:02	1.640e+02	1.000e+00
HLA-C03:03	HLA-C03:03	3.800e+01	1.000e+00
HLA-C03:04	HLA-C03:04	1.630e+02	1.000e+00
HLA-C04:01	HLA-C04:01	2.130e+02	1.000e+00
HLA-C05:01	HLA-C05:01	4.180e+02	1.000e+00
HLA-C06:02	HLA-C06:02	2.130e+02	1.000e+00
HLA-C07:01	HLA-C07:01	2.600e+01	1.000e+00
HLA-C07:02	HLA-C07:02	1.020e+02	1.000e+00
HLA-C07:04	HLA-C07:04	1.000e+00	1.000e+00
HLA-C08:02	HLA-C08:02	3.520e+02	1.000e+00
HLA-C12:02	HLA-C12:02	2.000e+00	1.000e+00
HLA-C12:03	HLA-C12:03	9.100e+01	1.000e+00
HLA-C14:02	HLA-C14:02	3.970e+02	1.000e+00
HLA-C15:02	HLA-C15:02	2.400e+02	1.000e+00
HLA-C16:01	HLA-C16:01	3.320e+02	1.000e+00
HLA-C17:01	HLA-C17:01	4.300e+01	1.000e+00
JY	HLA-A02:01	2.987e+02	5.243e-01
JY	HLA-B07:02	2.572e+02	4.749e-01
JY	HLA-C07:02	6.182e-02	7.910e-04
LNT-229	HLA-A03:01	9.705e+02	4.929e-01
LNT-229	HLA-B35:01	1.025e+03	5.067e-01
LNT-229	HLA-C04:01	7.991e-02	4.447e-04
Line.1	HLA-A01:01	3.606e+01	5.500e-01
Line.1	HLA-A03:01	2.937e+00	4.427e-02
Line.1	HLA-B07:02	1.826e+01	2.676e-01
Line.1	HLA-B08:01	6.976e+00	1.034e-01
Line.1	HLA-C07:01	1.654e+00	3.140e-02
Line.1	HLA-C07:02	1.154e-01	3.370e-03
Line.10	HLA-A01:01	6.578e+01	1.834e-01
Line.10	HLA-A25:01	9.412e+00	3.419e-02
Line.10	HLA-B08:01	3.160e+01	8.011e-02
Line.10	HLA-B18:01	2.999e+02	6.943e-01
Line.10	HLA-C07:01	9.353e-01	4.939e-03
Line.10	HLA-C12:03	3.251e-01	2.964e-03
Line.11	HLA-A01:01	6.240e+01	8.036e-02
Line.11	HLA-A26:01	5.000e+02	5.169e-01
Line.11	HLA-B15:01	2.557e+02	2.831e-01
Line.11	HLA-B18:01	1.039e+02	1.165e-01
Line.11	HLA-C03:03	9.473e-02	5.790e-04
Line.11	HLA-C07:01	9.478e-01	2.577e-03
Line.12	HLA-A01:01	5.500e+01	1.462e-01
Line.12	HLA-A33:01	2.244e+00	7.573e-03
Line.12	HLA-B35:01	2.625e+02	6.002e-01
Line.12	HLA-B44:03	9.810e+01	2.444e-01
Line.12	HLA-C02:02	1.390e-01	1.359e-03
Line.12	HLA-C04:01	1.216e-02	3.387e-04
Line.13	HLA-A02:01	1.591e+01	2.474e-01
Line.13	HLA-A03:01	2.163e+00	3.888e-02
Line.13	HLA-B13:02	5.291e+01	7.114e-01
Line.13	HLA-B47:01	2.495e-03	9.666e-04
Line.13	HLA-C06:02	1.233e-02	1.367e-03
Line.14	HLA-A02:01	2.013e+01	5.244e-01
Line.14	HLA-A03:01	1.719e+00	4.731e-02
Line.14	HLA-B07:02	1.433e+01	3.918e-01
Line.14	HLA-B44:02	6.158e-01	2.284e-02
Line.14	HLA-C05:01	2.098e-01	1.328e-02
Line.14	HLA-C07:02	1.133e-03	3.245e-04
Line.15	HLA-A02:01	5.369e+01	3.222e-01
Line.15	HLA-A11:01	5.948e+01	3.495e-01
Line.15	HLA-B44:02	1.406e+01	1.011e-01
Line.15	HLA-B44:03	3.715e+01	2.196e-01
Line.15	HLA-C05:01	3.781e-02	1.326e-03
Line.15	HLA-C16:01	5.735e-01	6.257e-03
Line.16	HLA-A02:01	5.900e+00	7.932e-02
Line.16	HLA-A23:01	4.029e-01	1.165e-02
Line.16	HLA-B15:03	2.197e+01	2.948e-01
Line.16	HLA-B18:01	4.969e+01	6.118e-01
Line.16	HLA-C02:02	2.139e-02	1.192e-03
Line.16	HLA-C02:10	2.139e-02	1.192e-03
Line.17	HLA-A02:01	2.168e+01	6.633e-02
Line.17	HLA-A24:02	3.978e-01	3.618e-03
Line.17	HLA-B38:01	3.862e+01	1.037e-01
Line.17	HLA-B48:01	2.258e-02	9.280e-05
Line.17	HLA-C03:04	1.154e-01	1.140e-03
Line.17	HLA-C08:03	3.182e+02	8.251e-01
Line.18	HLA-A02:01	1.819e+01	6.354e-02
Line.18	HLA-A32:01	1.526e-01	1.320e-03
Line.18	HLA-B15:01	7.649e+01	2.468e-01
Line.18	HLA-B18:01	9.186e+01	2.928e-01
Line.18	HLA-C04:01	7.998e-03	1.668e-04
Line.18	HLA-C07:04	1.293e+02	3.954e-01
Line.19	HLA-A02:01	5.827e+00	1.026e-01
Line.19	HLA-A32:01	4.188e-02	1.516e-03
Line.19	HLA-B44:02	3.567e+00	7.228e-02
Line.19	HLA-B52:01	4.909e+01	8.105e-01
Line.19	HLA-C12:02	3.593e-01	8.759e-03
Line.19	HLA-C16:04	1.139e-01	4.389e-03
Line.2	HLA-A01:01	1.984e+01	1.332e-01
Line.2	HLA-A03:01	5.550e+01	3.185e-01
Line.2	HLA-B08:01	7.649e+00	4.537e-02
Line.2	HLA-B18:01	7.977e+01	4.505e-01
Line.2	HLA-C07:01	7.247e+00	5.247e-02
Line.20	HLA-A02:01	1.369e+01	2.547e-02
