sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.037e+03	8.068e-01
Apher1	HLA-A29:02	9.493e+00	1.205e-02
Apher1	HLA-B44:02	2.863e+01	3.719e-02
Apher1	HLA-B44:03	1.640e+02	1.410e-01
Apher1	HLA-C12:03	3.540e-02	3.469e-04
Apher1	HLA-C16:01	1.548e+00	2.651e-03
Apher6	HLA-A02:01	5.690e+00	1.648e-02
Apher6	HLA-A03:01	2.742e+02	6.148e-01
Apher6	HLA-B07:02	1.501e+02	3.686e-01
Apher6	HLA-C07:02	1.262e-03	1.361e-04
Bcell	HLA-A01:01	3.498e+01	1.974e-02
Bcell	HLA-A03:01	4.813e+02	1.926e-01
Bcell	HLA-B07:02	6.689e+02	2.872e-01
Bcell	HLA-B27:05	1.217e+03	4.981e-01
Bcell	HLA-C02:02	4.429e-02	1.795e-04
Bcell	HLA-C07:01	6.157e-01	2.218e-03
CA46	HLA-A26:03	3.728e-05	9.493e-06
CA46	HLA-B27:04	5.018e+02	9.877e-01
CA46	HLA-C12:02	3.199e+00	1.226e-02
CD165	HLA-A02:05	7.088e+02	5.845e-01
CD165	HLA-A24:02	1.924e+00	5.929e-03
CD165	HLA-B15:01	3.675e+02	3.711e-01
CD165	HLA-B50:01	1.850e+01	3.271e-02
CD165	HLA-C03:03	6.119e-02	3.733e-04
CD165	HLA-C06:02	1.252e+00	5.354e-03
CM467	HLA-A01:01	1.996e+01	2.331e-02
CM467	HLA-A24:02	3.102e+00	6.231e-03
CM467	HLA-B13:02	1.268e+03	8.472e-01
CM467	HLA-B39:06	1.229e+02	1.192e-01
CM467	HLA-C06:02	1.159e+00	3.705e-03
CM467	HLA-C12:03	3.274e-02	2.761e-04
Fibroblast	HLA-A03:01	2.218e+02	2.117e-01
Fibroblast	HLA-A23:01	2.163e+00	5.666e-03
Fibroblast	HLA-B08:01	2.598e+01	2.476e-02
Fibroblast	HLA-B15:18	4.152e+00	1.098e-02
Fibroblast	HLA-C07:02	3.127e-02	4.685e-04
Fibroblast	HLA-C07:04	8.689e+02	7.465e-01
GD149	HLA-A01:01	7.440e+01	5.092e-02
GD149	HLA-A24:02	1.197e+00	2.424e-03
GD149	HLA-B38:01	1.238e+03	5.994e-01
GD149	HLA-B44:03	6.417e+02	3.445e-01
GD149	HLA-C06:02	1.176e+00	2.664e-03
GD149	HLA-C12:03	1.807e-02	1.375e-04
HCC1143	HLA-A31:01	3.144e+02	5.804e-01
HCC1143	HLA-B35:08	1.173e+01	3.983e-02
HCC1143	HLA-B37:01	2.145e+02	3.720e-01
HCC1143	HLA-C04:01	2.550e-02	3.792e-04
HCC1143	HLA-C06:02	1.380e+00	7.430e-03
HCC1937	HLA-A23:01	2.404e+01	4.578e-02
HCC1937	HLA-A24:02	2.740e+01	4.284e-02
HCC1937	HLA-B07:02	4.462e+02	4.523e-01
HCC1937	HLA-B40:01	4.532e+02	4.574e-01
HCC1937	HLA-C03:04	9.669e-02	5.378e-04
HCC1937	HLA-C07:02	6.665e-02	1.111e-03
HCT116	HLA-A01:01	1.229e+02	1.711e-01
HCT116	HLA-A02:01	2.540e+02	2.855e-01
HCT116	HLA-B18:01	4.057e+01	5.777e-02
HCT116	HLA-B45:01	4.311e+02	4.750e-01
HCT116	HLA-C05:01	4.336e+00	9.795e-03
HCT116	HLA-C07:01	8.795e-02	7.388e-04
HEK293	HLA-A03:01	1.014e+03	9.834e-01
HEK293	HLA-B07:02	1.288e+01	1.636e-02
HEK293	HLA-C07:02	6.824e-03	2.097e-04
HL-60	HLA-A01:01	1.484e+00	2.096e-03
