sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.076e+03	8.374e-01
Apher1	HLA-A29:02	1.633e+01	1.907e-02
Apher1	HLA-B44:02	3.552e+01	4.323e-02
Apher1	HLA-B44:03	1.019e+02	9.811e-02
Apher1	HLA-C12:03	6.848e-02	4.517e-04
Apher1	HLA-C16:01	4.086e-01	1.696e-03
Apher6	HLA-A02:01	1.205e+01	3.480e-02
Apher6	HLA-A03:01	2.600e+02	6.497e-01
Apher6	HLA-B07:02	1.139e+02	3.152e-01
Apher6	HLA-C07:02	1.185e-02	3.566e-04
Bcell	HLA-A01:01	2.063e+01	1.256e-02
Bcell	HLA-A03:01	7.049e+02	2.771e-01
Bcell	HLA-B07:02	7.091e+02	3.073e-01
Bcell	HLA-B27:05	9.780e+02	3.981e-01
Bcell	HLA-C02:02	9.510e-02	2.682e-04
Bcell	HLA-C07:01	3.357e+00	4.598e-03
CA46	HLA-A26:03	2.632e-04	1.682e-05
CA46	HLA-B27:04	3.919e+02	8.783e-01
CA46	HLA-C12:02	4.914e+01	1.217e-01
CD165	HLA-A02:05	8.557e+02	7.389e-01
CD165	HLA-A24:02	3.140e+00	7.680e-03
CD165	HLA-B15:01	2.029e+02	2.220e-01
CD165	HLA-B50:01	1.033e+01	2.159e-02
CD165	HLA-C03:03	4.910e-02	3.105e-04
CD165	HLA-C06:02	3.887e+00	9.495e-03
CM467	HLA-A01:01	7.116e+00	8.177e-03
CM467	HLA-A24:02	4.870e+00	6.738e-03
CM467	HLA-B13:02	1.299e+03	7.715e-01
CM467	HLA-B39:06	2.885e+02	2.080e-01
CM467	HLA-C06:02	3.218e+00	5.150e-03
CM467	HLA-C12:03	9.716e-02	3.935e-04
Fibroblast	HLA-A03:01	1.507e+02	1.557e-01
Fibroblast	HLA-A23:01	4.840e+00	9.543e-03
Fibroblast	HLA-B08:01	2.639e+01	2.952e-02
Fibroblast	HLA-B15:18	4.263e+00	9.554e-03
Fibroblast	HLA-C07:02	1.194e-01	6.863e-04
Fibroblast	HLA-C07:04	8.746e+02	7.950e-01
GD149	HLA-A01:01	6.908e+01	4.521e-02
GD149	HLA-A24:02	8.355e+00	8.620e-03
GD149	HLA-B38:01	1.353e+03	6.443e-01
GD149	HLA-B44:03	5.326e+02	2.889e-01
GD149	HLA-C06:02	1.319e+01	1.267e-02
GD149	HLA-C12:03	5.970e-02	2.549e-04
HCC1143	HLA-A31:01	4.222e+02	7.648e-01
HCC1143	HLA-B35:08	1.844e+01	5.175e-02
HCC1143	HLA-B37:01	8.452e+01	1.756e-01
HCC1143	HLA-C04:01	4.222e-02	5.523e-04
HCC1143	HLA-C06:02	1.796e+00	7.379e-03
HCC1937	HLA-A23:01	9.534e+01	1.151e-01
HCC1937	HLA-A24:02	1.600e+01	2.462e-02
HCC1937	HLA-B07:02	2.286e+02	2.338e-01
HCC1937	HLA-B40:01	6.445e+02	6.241e-01
HCC1937	HLA-C03:04	8.934e-02	4.588e-04
HCC1937	HLA-C07:02	4.087e-01	1.970e-03
HCT116	HLA-A01:01	4.164e+01	6.514e-02
HCT116	HLA-A02:01	1.755e+02	2.135e-01
HCT116	HLA-B18:01	1.502e+01	2.452e-02
HCT116	HLA-B45:01	5.881e+02	6.868e-01
HCT116	HLA-C05:01	3.172e+00	8.152e-03
HCT116	HLA-C07:01	4.861e-01	1.845e-03
HEK293	HLA-A03:01	9.753e+02	9.799e-01
HEK293	HLA-B07:02	1.567e+01	1.989e-02
HEK293	HLA-C07:02	9.002e-03	2.554e-04
HL-60	HLA-A01:01	4.284e-01	9.849e-04
