sample	hla	p_ijk	pi
Apher1	HLA-A03:01	8.675e+02	5.668e-01
Apher1	HLA-A29:02	4.237e+01	6.110e-02
Apher1	HLA-B44:02	1.061e+02	1.520e-01
Apher1	HLA-B44:03	1.618e+02	1.710e-01
Apher1	HLA-C12:03	3.840e+00	1.920e-02
Apher1	HLA-C16:01	6.432e+00	2.985e-02
Apher6	HLA-A02:01	2.272e+01	7.150e-02
Apher6	HLA-A03:01	2.027e+02	4.810e-01
Apher6	HLA-B07:02	1.527e+02	4.277e-01
Apher6	HLA-C07:02	1.825e+00	1.977e-02
Bcell	HLA-A01:01	1.307e+02	6.907e-02
Bcell	HLA-A03:01	7.394e+02	2.319e-01
Bcell	HLA-B07:02	8.967e+02	3.557e-01
Bcell	HLA-B27:05	7.075e+02	2.598e-01
Bcell	HLA-C02:02	3.034e+00	1.641e-02
Bcell	HLA-C07:01	4.864e+01	6.711e-02
CA46	HLA-A26:03	2.528e-02	1.273e-03
CA46	HLA-B27:04	3.613e+02	7.793e-01
CA46	HLA-C12:02	9.463e+01	2.194e-01
CD165	HLA-A02:05	3.779e+02	2.582e-01
CD165	HLA-A24:02	4.920e+01	7.112e-02
CD165	HLA-B15:01	3.956e+02	3.714e-01
CD165	HLA-B50:01	1.603e+02	1.809e-01
CD165	HLA-C03:03	5.296e+00	2.302e-02
CD165	HLA-C06:02	4.668e+01	9.537e-02
CM467	HLA-A01:01	1.542e+02	1.524e-01
CM467	HLA-A24:02	7.472e+01	9.233e-02
CM467	HLA-B13:02	9.647e+02	4.703e-01
CM467	HLA-B39:06	2.015e+02	1.941e-01
CM467	HLA-C06:02	4.038e+01	6.854e-02
CM467	HLA-C12:03	7.425e+00	2.231e-02
Fibroblast	HLA-A03:01	3.765e+02	3.515e-01
Fibroblast	HLA-A23:01	5.114e+01	8.445e-02
Fibroblast	HLA-B08:01	5.460e+01	5.561e-02
Fibroblast	HLA-B15:18	4.019e+01	8.882e-02
Fibroblast	HLA-C07:02	6.554e+00	3.148e-02
Fibroblast	HLA-C07:04	4.810e+02	3.881e-01
GD149	HLA-A01:01	3.075e+02	1.726e-01
GD149	HLA-A24:02	7.324e+01	5.593e-02
GD149	HLA-B38:01	6.872e+02	3.001e-01
GD149	HLA-B44:03	7.699e+02	3.989e-01
GD149	HLA-C06:02	5.545e+01	5.779e-02
GD149	HLA-C12:03	6.701e+00	1.467e-02
HCC1143	HLA-A31:01	3.900e+02	5.757e-01
HCC1143	HLA-B35:08	3.486e+01	1.253e-01
HCC1143	HLA-B37:01	9.635e+01	1.925e-01
HCC1143	HLA-C04:01	5.179e-01	1.860e-02
HCC1143	HLA-C06:02	2.031e+01	8.787e-02
HCC1937	HLA-A23:01	1.261e+02	1.550e-01
HCC1937	HLA-A24:02	1.063e+02	1.177e-01
HCC1937	HLA-B07:02	3.364e+02	2.598e-01
HCC1937	HLA-B40:01	4.269e+02	3.933e-01
HCC1937	HLA-C03:04	4.445e+00	2.509e-02
HCC1937	HLA-C07:02	1.386e+01	4.908e-02
HCT116	HLA-A01:01	1.770e+02	2.346e-01
HCT116	HLA-A02:01	2.258e+02	2.199e-01
HCT116	HLA-B18:01	8.241e+01	1.029e-01
HCT116	HLA-B45:01	3.411e+02	3.407e-01
HCT116	HLA-C05:01	2.051e+01	7.380e-02
HCT116	HLA-C07:01	9.183e+00	2.817e-02
HEK293	HLA-A03:01	9.749e+02	9.104e-01
HEK293	HLA-B07:02	5.066e+01	7.114e-02
HEK293	HLA-C07:02	1.443e+00	1.844e-02
HL-60	HLA-A01:01	1.947e+01	3.477e-02
HL-60	HLA-B57:01	1.185e+03	8.639e-01
HL-60	HLA-C06:02	4.931e+01	1.014e-01
HLA-A01:01	HLA-A01:01	1.372e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.850e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.790e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.100e+02	1.000e+00
HLA-A02:05	HLA-A02:05	3.500e+01	1.000e+00
HLA-A02:07	HLA-A02:07	4.550e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	6.550e+02	1.000e+00
HLA-A11:01	HLA-A11:01	3.820e+02	1.000e+00
HLA-A23:01	HLA-A23:01	3.000e+00	1.000e+00
HLA-A24:02	HLA-A24:02	1.052e+03	1.000e+00
HLA-A24:06	HLA-A24:06	2.600e+01	1.000e+00
HLA-A24:13	HLA-A24:13	1.300e+01	1.000e+00
HLA-A26:01	HLA-A26:01	3.000e+01	1.000e+00
HLA-A26:03	HLA-A26:03	1.000e+00	1.000e+00
HLA-A29:02	HLA-A29:02	1.157e+03	1.000e+00
HLA-A30:01	HLA-A30:01	2.000e+00	1.000e+00
HLA-A30:02	HLA-A30:02	1.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.280e+02	1.000e+00
HLA-A32:01	HLA-A32:01	5.400e+01	1.000e+00
HLA-A66:01	HLA-A66:01	8.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	3.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	2.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.290e+02	1.000e+00
HLA-B07:02	HLA-B07:02	2.080e+03	1.000e+00
HLA-B08:01	HLA-B08:01	6.930e+02	1.000e+00
HLA-B13:01	HLA-B13:01	9.000e+00	1.000e+00
HLA-B13:02	HLA-B13:02	6.000e+00	1.000e+00
HLA-B14:02	HLA-B14:02	3.300e+01	1.000e+00
HLA-B14:03	HLA-B14:03	1.000e+00	1.000e+00
