sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.096e+03	8.205e-01
Apher1	HLA-A29:02	9.430e+00	1.053e-02
Apher1	HLA-B44:02	3.688e+01	4.422e-02
Apher1	HLA-B44:03	1.393e+02	1.215e-01
Apher1	HLA-C12:03	4.693e-02	3.853e-04
Apher1	HLA-C16:01	1.050e+00	2.836e-03
Apher6	HLA-A02:01	8.417e+00	2.527e-02
Apher6	HLA-A03:01	2.429e+02	6.051e-01
Apher6	HLA-B07:02	1.347e+02	3.693e-01
Apher6	HLA-C07:02	3.331e-03	3.058e-04
Bcell	HLA-A01:01	5.737e+00	4.722e-03
Bcell	HLA-A03:01	5.822e+02	2.287e-01
Bcell	HLA-B07:02	6.550e+02	2.830e-01
Bcell	HLA-B27:05	1.155e+03	4.803e-01
Bcell	HLA-C02:02	1.019e-01	3.116e-04
Bcell	HLA-C07:01	1.649e+00	3.012e-03
CA46	HLA-A26:03	9.252e-05	1.111e-05
CA46	HLA-B27:04	4.342e+02	9.350e-01
CA46	HLA-C12:02	2.476e+01	6.498e-02
CD165	HLA-A02:05	6.616e+02	5.393e-01
CD165	HLA-A24:02	1.224e+00	3.325e-03
CD165	HLA-B15:01	4.117e+02	3.991e-01
CD165	HLA-B50:01	2.889e+01	4.540e-02
CD165	HLA-C03:03	4.693e-02	3.219e-04
CD165	HLA-C06:02	5.600e+00	1.255e-02
CM467	HLA-A01:01	3.797e+00	6.391e-03
CM467	HLA-A24:02	1.527e+00	3.304e-03
CM467	HLA-B13:02	1.312e+03	8.790e-01
CM467	HLA-B39:06	1.129e+02	1.042e-01
CM467	HLA-C06:02	3.406e+00	6.743e-03
CM467	HLA-C12:03	5.271e-02	3.580e-04
Fibroblast	HLA-A03:01	2.198e+02	2.212e-01
Fibroblast	HLA-A23:01	1.557e+00	4.563e-03
Fibroblast	HLA-B08:01	3.258e+01	3.201e-02
Fibroblast	HLA-B15:18	1.313e+00	4.025e-03
Fibroblast	HLA-C07:02	5.787e-02	5.868e-04
Fibroblast	HLA-C07:04	8.477e+02	7.376e-01
GD149	HLA-A01:01	1.941e+01	1.648e-02
GD149	HLA-A24:02	6.900e-01	1.412e-03
GD149	HLA-B38:01	1.342e+03	6.299e-01
GD149	HLA-B44:03	6.495e+02	3.441e-01
