sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.004e+03	7.933e-01
Apher1	HLA-A29:02	9.817e+00	1.232e-02
Apher1	HLA-B44:02	2.925e+01	3.568e-02
Apher1	HLA-B44:03	1.858e+02	1.564e-01
Apher1	HLA-C12:03	8.603e-02	5.057e-04
Apher1	HLA-C16:01	5.429e-01	1.859e-03
Apher6	HLA-A02:01	1.318e+01	3.562e-02
Apher6	HLA-A03:01	2.168e+02	5.445e-01
Apher6	HLA-B07:02	1.560e+02	4.196e-01
Apher6	HLA-C07:02	5.276e-03	2.799e-04
Bcell	HLA-A01:01	1.050e+01	8.029e-03
Bcell	HLA-A03:01	4.828e+02	1.982e-01
Bcell	HLA-B07:02	1.020e+03	4.206e-01
Bcell	HLA-B27:05	9.011e+02	3.692e-01
Bcell	HLA-C02:02	1.186e-01	3.169e-04
Bcell	HLA-C07:01	1.443e+00	3.595e-03
CA46	HLA-A26:03	8.320e-05	1.369e-05
CA46	HLA-B27:04	3.977e+02	8.912e-01
CA46	HLA-C12:02	4.332e+01	1.087e-01
CD165	HLA-A02:05	8.283e+02	7.077e-01
CD165	HLA-A24:02	1.986e+00	5.625e-03
CD165	HLA-B15:01	2.350e+02	2.600e-01
CD165	HLA-B50:01	5.817e+00	1.479e-02
CD165	HLA-C03:03	3.761e-02	3.110e-04
CD165	HLA-C06:02	4.808e+00	1.162e-02
CM467	HLA-A01:01	9.546e+00	1.196e-02
CM467	HLA-A24:02	2.129e+00	3.877e-03
CM467	HLA-B13:02	1.500e+03	9.011e-01
CM467	HLA-B39:06	8.949e+01	7.856e-02
CM467	HLA-C06:02	1.954e+00	4.068e-03
CM467	HLA-C12:03	6.904e-02	4.261e-04
Fibroblast	HLA-A03:01	1.572e+02	1.615e-01
Fibroblast	HLA-A23:01	2.489e+00	6.679e-03
Fibroblast	HLA-B08:01	4.190e+01	4.054e-02
Fibroblast	HLA-B15:18	2.834e+00	7.583e-03
Fibroblast	HLA-C07:02	7.918e-02	6.356e-04
Fibroblast	HLA-C07:04	8.565e+02	7.831e-01
GD149	HLA-A01:01	3.834e+01	2.972e-02
GD149	HLA-A24:02	1.985e+00	3.645e-03
GD149	HLA-B38:01	1.344e+03	6.402e-01
GD149	HLA-B44:03	5.861e+02	3.183e-01
GD149	HLA-C06:02	5.760e+00	7.839e-03
GD149	HLA-C12:03	4.962e-02	2.866e-04
HCC1143	HLA-A31:01	4.484e+02	8.112e-01
HCC1143	HLA-B35:08	1.339e+01	3.974e-02
HCC1143	HLA-B37:01	6.366e+01	1.407e-01
HCC1143	HLA-C04:01	6.107e-02	6.192e-04
HCC1143	HLA-C06:02	1.469e+00	7.719e-03
HCC1937	HLA-A23:01	2.730e+01	5.025e-02
HCC1937	HLA-A24:02	1.185e+01	2.015e-02
HCC1937	HLA-B07:02	3.308e+02	3.306e-01
HCC1937	HLA-B40:01	6.148e+02	5.972e-01
HCC1937	HLA-C03:04	9.284e-02	4.783e-04
HCC1937	HLA-C07:02	1.686e-01	1.340e-03
HCT116	HLA-A01:01	5.197e+01	8.518e-02
HCT116	HLA-A02:01	2.378e+02	2.877e-01
HCT116	HLA-B18:01	2.346e+01	3.369e-02
HCT116	HLA-B45:01	5.073e+02	5.835e-01
HCT116	HLA-C05:01	3.197e+00	8.408e-03
HCT116	HLA-C07:01	2.853e-01	1.570e-03
HEK293	HLA-A03:01	9.655e+02	9.695e-01
HEK293	HLA-B07:02	2.549e+01	3.027e-02
HEK293	HLA-C07:02	6.777e-03	2.418e-04
HL-60	HLA-A01:01	3.072e-01	8.246e-04
HL-60	HLA-B57:01	1.341e+03	9.664e-01
HL-60	HLA-C06:02	2.881e+01	3.275e-02
HLA-A01:01	HLA-A01:01	1.361e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.787e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.830e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.360e+02	1.000e+00
HLA-A02:05	HLA-A02:05	3.900e+01	1.000e+00
HLA-A02:07	HLA-A02:07	4.940e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	6.150e+02	1.000e+00
HLA-A11:01	HLA-A11:01	3.740e+02	1.000e+00
HLA-A24:02	HLA-A24:02	9.520e+02	1.000e+00
HLA-A24:06	HLA-A24:06	2.600e+01	1.000e+00
HLA-A24:13	HLA-A24:13	1.100e+01	1.000e+00
HLA-A26:01	HLA-A26:01	2.300e+01	1.000e+00
HLA-A29:02	HLA-A29:02	1.131e+03	1.000e+00
HLA-A30:01	HLA-A30:01	4.000e+00	1.000e+00
HLA-A30:02	HLA-A30:02	2.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	3.500e+02	1.000e+00
HLA-A32:01	HLA-A32:01	6.800e+01	1.000e+00
HLA-A66:01	HLA-A66:01	7.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	4.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	1.000e+00	1.000e+00
HLA-A68:02	HLA-A68:02	3.370e+02	1.000e+00
HLA-B07:02	HLA-B07:02	2.022e+03	1.000e+00
HLA-B08:01	HLA-B08:01	6.760e+02	1.000e+00
HLA-B13:01	HLA-B13:01	2.400e+01	1.000e+00
HLA-B13:02	HLA-B13:02	1.200e+01	1.000e+00
HLA-B14:02	HLA-B14:02	3.300e+01	1.000e+00
HLA-B14:03	HLA-B14:03	2.000e+00	1.000e+00
HLA-B15:01	HLA-B15:01	1.109e+03	1.000e+00
HLA-B15:02	HLA-B15:02	3.750e+02	1.000e+00
HLA-B15:08	HLA-B15:08	1.000e+00	1.000e+00
HLA-B15:09	HLA-B15:09	1.000e+00	1.000e+00
HLA-B15:10	HLA-B15:10	1.000e+00	1.000e+00
HLA-B15:11	HLA-B15:11	1.000e+01	1.000e+00
HLA-B15:13	HLA-B15:13	3.000e+00	1.000e+00
HLA-B15:16	HLA-B15:16	1.000e+00	1.000e+00
HLA-B15:17	HLA-B15:17	1.000e+00	1.000e+00
HLA-B15:42	HLA-B15:42	1.000e+00	1.000e+00
HLA-B18:01	HLA-B18:01	1.370e+02	1.000e+00
HLA-B18:03	HLA-B18:03	2.000e+01	1.000e+00
HLA-B27:01	HLA-B27:01	4.370e+02	1.000e+00
HLA-B27:02	HLA-B27:02	2.450e+02	1.000e+00
HLA-B27:03	HLA-B27:03	7.000e+00	1.000e+00
HLA-B27:04	HLA-B27:04	3.200e+01	1.000e+00
HLA-B27:05	HLA-B27:05	2.800e+02	1.000e+00
HLA-B27:06	HLA-B27:06	3.100e+01	1.000e+00
HLA-B27:07	HLA-B27:07	6.100e+01	1.000e+00
HLA-B27:08	HLA-B27:08	7.500e+01	1.000e+00
HLA-B27:09	HLA-B27:09	3.320e+02	1.000e+00
HLA-B35:01	HLA-B35:01	2.440e+02	1.000e+00
HLA-B35:02	HLA-B35:02	2.000e+00	1.000e+00
HLA-B35:03	HLA-B35:03	1.400e+01	1.000e+00
HLA-B35:08	HLA-B35:08	2.300e+01	1.000e+00
HLA-B37:01	HLA-B37:01	8.000e+00	1.000e+00
HLA-B38:01	HLA-B38:01	2.000e+00	1.000e+00
HLA-B39:01	HLA-B39:01	1.530e+02	1.000e+00
HLA-B39:06	HLA-B39:06	6.800e+01	1.000e+00
HLA-B39:10	HLA-B39:10	1.000e+00	1.000e+00
HLA-B39:24	HLA-B39:24	4.100e+01	1.000e+00
HLA-B40:01	HLA-B40:01	2.290e+02	1.000e+00
HLA-B40:02	HLA-B40:02	1.058e+03	1.000e+00
HLA-B41:01	HLA-B41:01	4.500e+01	1.000e+00
HLA-B41:03	HLA-B41:03	9.000e+00	1.000e+00
HLA-B41:04	HLA-B41:04	3.000e+00	1.000e+00
HLA-B41:05	HLA-B41:05	5.000e+00	1.000e+00
HLA-B41:06	HLA-B41:06	2.000e+00	1.000e+00
HLA-B44:02	HLA-B44:02	5.230e+02	1.000e+00
HLA-B44:03	HLA-B44:03	3.320e+02	1.000e+00
HLA-B44:08	HLA-B44:08	4.000e+00	1.000e+00
HLA-B44:09	HLA-B44:09	1.200e+01	1.000e+00
HLA-B44:27	HLA-B44:27	7.000e+00	1.000e+00
HLA-B44:28	HLA-B44:28	2.000e+00	1.000e+00
HLA-B45:01	HLA-B45:01	1.040e+02	1.000e+00
HLA-B46:01	HLA-B46:01	2.370e+02	1.000e+00
HLA-B47:01	HLA-B47:01	4.000e+00	1.000e+00
HLA-B49:01	HLA-B49:01	1.500e+01	1.000e+00
HLA-B50:01	HLA-B50:01	6.800e+01	1.000e+00
HLA-B51:01	HLA-B51:01	6.340e+02	1.000e+00
HLA-B51:02	HLA-B51:02	1.000e+00	1.000e+00
HLA-B51:08	HLA-B51:08	5.800e+01	1.000e+00
HLA-B52:01	HLA-B52:01	1.000e+00	1.000e+00
HLA-B54:01	HLA-B54:01	1.560e+02	1.000e+00
HLA-B56:01	HLA-B56:01	9.000e+01	1.000e+00
HLA-B57:01	HLA-B57:01	2.221e+03	1.000e+00
HLA-B57:03	HLA-B57:03	3.320e+02	1.000e+00
HLA-B58:01	HLA-B58:01	2.520e+02	1.000e+00
HLA-B58:02	HLA-B58:02	1.000e+00	1.000e+00
HLA-B73:01	HLA-B73:01	3.400e+01	1.000e+00
HLA-C01:02	HLA-C01:02	2.710e+02	1.000e+00
HLA-C02:02	HLA-C02:02	1.290e+02	1.000e+00
HLA-C03:03	HLA-C03:03	2.900e+01	1.000e+00
HLA-C03:04	HLA-C03:04	1.570e+02	1.000e+00
HLA-C04:01	HLA-C04:01	2.450e+02	1.000e+00
HLA-C05:01	HLA-C05:01	4.130e+02	1.000e+00
HLA-C06:02	HLA-C06:02	2.720e+02	1.000e+00
HLA-C07:01	HLA-C07:01	1.900e+01	1.000e+00
HLA-C07:02	HLA-C07:02	1.180e+02	1.000e+00
HLA-C08:02	HLA-C08:02	3.330e+02	1.000e+00
HLA-C12:03	HLA-C12:03	9.700e+01	1.000e+00
HLA-C14:02	HLA-C14:02	3.850e+02	1.000e+00
HLA-C15:02	HLA-C15:02	2.410e+02	1.000e+00
HLA-C16:01	HLA-C16:01	3.430e+02	1.000e+00
HLA-C17:01	HLA-C17:01	5.800e+01	1.000e+00
JY	HLA-A02:01	2.798e+02	4.797e-01
JY	HLA-B07:02	2.772e+02	5.200e-01
JY	HLA-C07:02	7.054e-03	2.905e-04
LNT-229	HLA-A03:01	1.597e+03	7.739e-01
LNT-229	HLA-B35:01	4.421e+02	2.256e-01
LNT-229	HLA-C04:01	1.521e-01	4.215e-04
Line.1	HLA-A01:01	4.213e+01	4.384e-01
Line.1	HLA-A03:01	1.121e+01	1.074e-01
Line.1	HLA-B07:02	3.318e+01	2.992e-01
Line.1	HLA-B08:01	1.602e+01	1.459e-01
Line.1	HLA-C07:01	4.588e-01	8.569e-03
Line.1	HLA-C07:02	6.170e-03	5.199e-04
Line.10	HLA-A01:01	9.216e+01	2.381e-01
Line.10	HLA-A25:01	1.346e+01	5.104e-02
Line.10	HLA-B08:01	9.119e+01	1.850e-01
Line.10	HLA-B18:01	2.435e+02	5.198e-01
Line.10	HLA-C07:01	3.697e-01	2.753e-03
Line.10	HLA-C12:03	3.094e-01	3.280e-03
Line.11	HLA-A01:01	5.941e+01	8.260e-02
Line.11	HLA-A26:01	4.108e+02	4.342e-01
Line.11	HLA-B15:01	3.577e+02	3.998e-01
Line.11	HLA-B18:01	6.788e+01	8.185e-02
Line.11	HLA-C03:03	8.217e-02	5.422e-04
Line.11	HLA-C07:01	1.972e-01	9.909e-04
Line.12	HLA-A01:01	4.799e+01	1.293e-01
Line.12	HLA-A33:01	2.042e+00	8.034e-03
Line.12	HLA-B35:01	2.889e+02	6.225e-01
Line.12	HLA-B44:03	1.010e+02	2.386e-01
Line.12	HLA-C02:02	1.350e-01	1.405e-03
Line.12	HLA-C04:01	8.446e-03	1.924e-04
Line.13	HLA-A02:01	6.879e+00	6.761e-02
Line.13	HLA-A03:01	6.070e+00	6.475e-02
Line.13	HLA-B13:02	1.060e+02	8.645e-01
Line.13	HLA-B47:01	4.749e-04	1.205e-03
Line.13	HLA-C06:02	5.737e-02	1.925e-03
Line.14	HLA-A02:01	1.385e+01	3.672e-01
Line.14	HLA-A03:01	9.869e+00	2.813e-01
Line.14	HLA-B07:02	1.205e+01	3.367e-01
Line.14	HLA-B44:02	2.230e-01	1.284e-02
Line.14	HLA-C05:01	1.324e-02	1.690e-03
Line.14	HLA-C07:02	6.140e-04	2.812e-04
Line.15	HLA-A02:01	5.186e+01	2.875e-01
Line.15	HLA-A11:01	9.665e+01	5.524e-01
Line.15	HLA-B44:02	4.735e+00	4.124e-02
Line.15	HLA-B44:03	1.761e+01	1.159e-01
Line.15	HLA-C05:01	1.378e-01	2.549e-03
Line.15	HLA-C16:01	8.369e-03	3.847e-04
Line.16	HLA-A02:01	2.275e+01	3.195e-01
Line.16	HLA-A23:01	2.616e-01	1.190e-02
Line.16	HLA-B15:03	1.876e+01	3.164e-01
Line.16	HLA-B18:01	2.312e+01	3.469e-01
Line.16	HLA-C02:02	5.560e-02	2.632e-03
Line.16	HLA-C02:10	5.560e-02	2.632e-03
Line.17	HLA-A02:01	2.236e+01	6.908e-02
Line.17	HLA-A24:02	2.603e-01	2.648e-03
Line.17	HLA-B38:01	3.547e+01	1.092e-01
Line.17	HLA-B48:01	5.802e-03	5.575e-05
Line.17	HLA-C03:04	5.081e-02	7.566e-04
Line.17	HLA-C08:03	2.828e+02	8.183e-01
Line.18	HLA-A02:01	2.781e+01	8.845e-02
Line.18	HLA-A32:01	5.687e-02	8.119e-04
Line.18	HLA-B15:01	7.065e+01	2.487e-01
Line.18	HLA-B18:01	6.631e+01	2.341e-01
Line.18	HLA-C04:01	4.453e-03	1.375e-04
Line.18	HLA-C07:04	1.292e+02	4.278e-01
Line.19	HLA-A02:01	4.433e+00	8.203e-02
Line.19	HLA-A32:01	9.132e-03	6.571e-04
Line.19	HLA-B44:02	8.579e-01	2.482e-02
Line.19	HLA-B52:01	4.652e+01	8.850e-01
Line.19	HLA-C12:02	1.389e-01	4.740e-03
Line.19	HLA-C16:04	3.891e-02	2.714e-03
Line.2	HLA-A01:01	1.647e+01	1.230e-01
Line.2	HLA-A03:01	5.493e+01	3.281e-01
Line.2	HLA-B08:01	1.144e+01	6.362e-02
Line.2	HLA-B18:01	8.129e+01	4.663e-01
Line.2	HLA-C07:01	1.875e+00	1.891e-02
Line.20	HLA-A02:01	2.123e+01	3.106e-02
Line.20	HLA-A68:01	6.272e+02	8.376e-01
Line.20	HLA-B44:02	1.463e+01	2.954e-02
Line.20	HLA-C05:01	1.457e+00	2.902e-03
Line.20	HLA-C07:04	6.048e+01	9.893e-02
Line.21	HLA-A02:03	3.946e-02	5.052e-04
Line.21	HLA-A68:01	7.338e+00	3.894e-02
Line.21	HLA-B15:02	1.359e-01	1.684e-03
Line.21	HLA-B15:13	2.020e-01	2.379e-03
Line.21	HLA-C08:01	2.483e+02	9.565e-01
Line.22	HLA-A02:05	4.360e+02	8.479e-01
Line.22	HLA-A03:01	3.155e+01	9.355e-02
Line.22	HLA-B27:05	3.173e+00	9.294e-03
Line.22	HLA-B50:01	1.128e+01	4.850e-02
Line.22	HLA-C02:02	5.709e-03	1.917e-04
Line.22	HLA-C06:02	3.184e-02	5.219e-04
Line.23	HLA-A03:01	1.037e+02	3.627e-01
Line.23	HLA-B07:02	1.921e+01	8.940e-02
Line.23	HLA-B51:01	1.490e+02	5.466e-01
Line.23	HLA-C01:02	7.073e-02	1.168e-03
Line.23	HLA-C07:02	1.127e-03	1.556e-04
Line.24	HLA-A03:01	5.033e+01	3.734e-01
Line.24	HLA-B15:01	1.930e+01	1.758e-01
Line.24	HLA-B35:01	5.433e+01	4.492e-01
Line.24	HLA-C03:03	3.857e-02	1.344e-03
Line.24	HLA-C04:01	2.514e-03	2.327e-04
Line.25	HLA-A03:01	2.777e+02	4.054e-01
Line.25	HLA-B35:03	2.808e+00	1.705e-02
Line.25	HLA-B51:01	3.794e+02	5.760e-01
Line.25	HLA-C03:03	1.074e-01	9.432e-04
Line.25	HLA-C04:01	5.716e-02	5.360e-04
Line.26	HLA-A03:01	3.864e+00	7.523e-02
Line.26	HLA-A24:02	1.690e-01	6.702e-03
Line.26	HLA-B07:02	1.776e+01	3.139e-01
Line.26	HLA-B55:01	3.816e+01	6.009e-01
Line.26	HLA-C03:03	4.002e-02	2.395e-03
Line.26	HLA-C07:02	2.962e-03	8.368e-04
Line.27	HLA-A03:01	6.398e+00	7.586e-02
Line.27	HLA-A24:02	3.301e-01	8.355e-03
Line.27	HLA-B14:02	2.716e-02	1.587e-03
Line.27	HLA-B51:01	9.395e+01	9.072e-01
Line.27	HLA-C01:02	2.898e-02	1.213e-03
Line.27	HLA-C08:02	2.643e-01	5.832e-03
Line.28	HLA-A03:01	2.759e+01	1.749e-01
Line.28	HLA-A24:02	1.887e-01	4.232e-03
Line.28	HLA-B44:03	6.269e+01	3.954e-01
Line.28	HLA-B55:01	7.440e+01	4.228e-01
Line.28	HLA-C03:03	1.955e-02	6.474e-04
Line.28	HLA-C16:01	1.097e-01	2.017e-03
Line.29	HLA-A03:02	2.227e+02	3.495e-01
Line.29	HLA-A26:01	2.826e+02	4.422e-01
Line.29	HLA-B35:02	9.985e+01	1.730e-01
Line.29	HLA-B44:03	1.638e+01	3.301e-02
Line.29	HLA-C03:03	3.908e-02	4.217e-04
Line.29	HLA-C16:01	4.334e-01	1.880e-03
Line.3	HLA-A01:01	3.122e+01	7.753e-02
Line.3	HLA-A03:01	6.383e+01	1.297e-01
Line.3	HLA-B08:01	4.428e+01	8.268e-02
Line.3	HLA-B35:01	4.034e+02	7.083e-01
Line.3	HLA-C04:01	6.171e-02	5.490e-04
Line.3	HLA-C07:01	1.802e-01	1.281e-03
Line.30	HLA-A11:01	1.027e+02	9.730e-01
Line.30	HLA-B27:02	3.406e-03	2.775e-04
Line.30	HLA-B55:01	2.275e+00	2.640e-02
Line.30	HLA-C03:03	4.793e-04	1.184e-04
Line.30	HLA-C05:01	8.358e-04	1.856e-04
Line.31	HLA-A11:01	6.274e+01	1.144e-01
Line.31	HLA-A23:01	5.371e-01	3.709e-03
Line.31	HLA-B35:01	4.215e+02	7.048e-01
Line.31	HLA-B49:01	9.814e+01	1.764e-01
Line.31	HLA-C04:01	1.942e-02	2.934e-04
Line.31	HLA-C07:01	1.198e-02	4.077e-04
Line.32	HLA-A11:01	4.389e+00	3.407e-02
Line.32	HLA-A68:01	1.623e+02	8.771e-01
Line.32	HLA-B51:01	1.355e+01	8.007e-02
Line.32	HLA-B56:01	7.355e-01	8.727e-03
Line.32	HLA-C01:02	1.447e-03	6.080e-05
Line.32	HLA-C07:02	1.728e-06	9.008e-06
Line.33	HLA-A01:01	7.396e+01	3.069e-01
Line.33	HLA-A23:01	2.344e+00	1.883e-02
Line.33	HLA-B08:01	8.819e+01	2.871e-01
Line.33	HLA-B15:03	8.463e+01	3.545e-01
Line.33	HLA-C01:02	4.379e+00	2.032e-02
Line.33	HLA-C12:03	1.488e+00	1.233e-02
Line.34	HLA-A01:01	8.579e+01	1.096e-01
