sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.070e+03	8.353e-01
Apher1	HLA-A29:02	2.716e+01	2.769e-02
Apher1	HLA-B44:02	3.011e+01	3.802e-02
Apher1	HLA-B44:03	1.022e+02	9.717e-02
Apher1	HLA-C12:03	6.120e-02	3.543e-04
Apher1	HLA-C16:01	7.126e-01	1.492e-03
Apher6	HLA-A02:01	1.032e+01	3.117e-02
Apher6	HLA-A03:01	2.605e+02	6.510e-01
Apher6	HLA-B07:02	1.152e+02	3.175e-01
Apher6	HLA-C07:02	4.312e-03	3.207e-04
Bcell	HLA-A01:01	4.774e+01	2.482e-02
Bcell	HLA-A03:01	4.623e+02	1.949e-01
Bcell	HLA-B07:02	6.151e+02	2.679e-01
Bcell	HLA-B27:05	1.290e+03	5.090e-01
Bcell	HLA-C02:02	1.042e-01	2.355e-04
Bcell	HLA-C07:01	9.961e-01	3.099e-03
CA46	HLA-A26:03	4.145e-05	1.365e-05
CA46	HLA-B27:04	4.321e+02	9.683e-01
CA46	HLA-C12:02	8.889e+00	3.172e-02
CD165	HLA-A02:05	7.927e+02	6.862e-01
CD165	HLA-A24:02	3.083e+00	8.732e-03
CD165	HLA-B15:01	2.688e+02	2.736e-01
CD165	HLA-B50:01	9.783e+00	2.352e-02
CD165	HLA-C03:03	3.810e-02	2.685e-04
CD165	HLA-C06:02	1.627e+00	7.630e-03
CM467	HLA-A01:01	2.382e+01	2.144e-02
CM467	HLA-A24:02	3.638e+00	5.883e-03
CM467	HLA-B13:02	1.388e+03	8.187e-01
CM467	HLA-B39:06	1.866e+02	1.504e-01
CM467	HLA-C06:02	1.027e+00	3.312e-03
CM467	HLA-C12:03	3.562e-02	2.667e-04
Fibroblast	HLA-A03:01	1.147e+02	1.287e-01
Fibroblast	HLA-A23:01	5.314e+00	1.148e-02
Fibroblast	HLA-B08:01	1.900e+01	2.111e-02
Fibroblast	HLA-B15:18	2.008e+00	6.753e-03
Fibroblast	HLA-C07:02	5.981e-02	6.139e-04
Fibroblast	HLA-C07:04	9.199e+02	8.314e-01
GD149	HLA-A01:01	1.829e+02	1.076e-01
GD149	HLA-A24:02	2.048e+00	3.814e-03
GD149	HLA-B38:01	1.118e+03	5.278e-01
GD149	HLA-B44:03	6.711e+02	3.551e-01
GD149	HLA-C06:02	2.162e+00	5.517e-03
GD149	HLA-C12:03	1.940e-02	1.649e-04
HCC1143	HLA-A31:01	4.718e+02	8.635e-01
HCC1143	HLA-B35:08	1.214e+01	3.728e-02
HCC1143	HLA-B37:01	4.259e+01	9.514e-02
HCC1143	HLA-C04:01	2.561e-02	4.395e-04
HCC1143	HLA-C06:02	4.408e-01	3.673e-03
HCC1937	HLA-A23:01	1.460e+02	1.784e-01
HCC1937	HLA-A24:02	1.660e+01	2.842e-02
HCC1937	HLA-B07:02	3.050e+02	2.941e-01
HCC1937	HLA-B40:01	5.171e+02	4.970e-01
HCC1937	HLA-C03:04	9.560e-02	4.223e-04
HCC1937	HLA-C07:02	2.180e-01	1.680e-03
HCT116	HLA-A01:01	8.507e+01	1.173e-01
HCT116	HLA-A02:01	1.750e+02	2.153e-01
HCT116	HLA-B18:01	2.223e+01	3.221e-02
HCT116	HLA-B45:01	5.387e+02	6.281e-01
HCT116	HLA-C05:01	2.798e+00	5.849e-03
HCT116	HLA-C07:01	1.594e-01	1.228e-03
HEK293	HLA-A03:01	9.748e+02	9.797e-01
HEK293	HLA-B07:02	1.624e+01	2.002e-02
HEK293	HLA-C07:02	8.017e-03	2.978e-04
HL-60	HLA-A01:01	1.150e+00	2.149e-03
HL-60	HLA-B57:01	1.365e+03	9.889e-01
HL-60	HLA-C06:02	3.460e+00	8.940e-03
HLA-A01:01	HLA-A01:01	1.361e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.787e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.830e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.360e+02	1.000e+00
HLA-A02:05	HLA-A02:05	3.900e+01	1.000e+00
HLA-A02:07	HLA-A02:07	4.940e+02	1.000e+00
