sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.072e+03	8.113e-01
Apher1	HLA-A29:02	1.281e+01	1.427e-02
Apher1	HLA-B44:02	3.581e+01	4.106e-02
Apher1	HLA-B44:03	1.616e+02	1.321e-01
Apher1	HLA-C12:03	2.294e-02	2.455e-04
Apher1	HLA-C16:01	4.902e-01	1.003e-03
Apher6	HLA-A02:01	8.902e+00	2.686e-02
Apher6	HLA-A03:01	3.166e+02	7.872e-01
Apher6	HLA-B07:02	6.052e+01	1.855e-01
Apher6	HLA-C07:02	6.846e-03	3.832e-04
Bcell	HLA-A01:01	1.775e+01	1.172e-02
Bcell	HLA-A03:01	1.223e+03	4.800e-01
Bcell	HLA-B07:02	2.866e+02	1.418e-01
Bcell	HLA-B27:05	8.701e+02	3.620e-01
Bcell	HLA-C02:02	9.587e-02	3.258e-04
Bcell	HLA-C07:01	2.090e+00	4.149e-03
CA46	HLA-A26:03	5.620e-05	1.033e-05
CA46	HLA-B27:04	4.518e+02	9.703e-01
CA46	HLA-C12:02	7.213e+00	2.971e-02
CD165	HLA-A02:05	4.273e+02	3.482e-01
CD165	HLA-A24:02	7.589e-01	2.350e-03
CD165	HLA-B15:01	5.620e+02	5.152e-01
CD165	HLA-B50:01	1.162e+02	1.264e-01
CD165	HLA-C03:03	2.845e-02	2.741e-04
CD165	HLA-C06:02	2.676e+00	7.665e-03
CM467	HLA-A01:01	7.606e+00	1.120e-02
CM467	HLA-A24:02	1.446e+00	3.256e-03
CM467	HLA-B13:02	1.382e+03	9.284e-01
CM467	HLA-B39:06	4.160e+01	5.149e-02
CM467	HLA-C06:02	1.688e+00	5.323e-03
CM467	HLA-C12:03	3.396e-02	3.621e-04
Fibroblast	HLA-A03:01	3.273e+02	3.090e-01
Fibroblast	HLA-A23:01	2.169e+00	5.009e-03
Fibroblast	HLA-B08:01	1.257e+01	1.383e-02
Fibroblast	HLA-B15:18	7.499e-01	3.665e-03
Fibroblast	HLA-C07:02	5.876e-02	5.507e-04
Fibroblast	HLA-C07:04	7.602e+02	6.679e-01
GD149	HLA-A01:01	7.189e+01	4.879e-02
GD149	HLA-A24:02	9.195e-01	1.628e-03
GD149	HLA-B38:01	7.187e+02	3.393e-01
GD149	HLA-B44:03	1.219e+03	6.025e-01
GD149	HLA-C06:02	4.947e+00	7.641e-03
GD149	HLA-C12:03	1.717e-02	1.719e-04
HCC1143	HLA-A31:01	5.679e+02	8.941e-01
HCC1143	HLA-B35:08	5.567e+00	1.966e-02
HCC1143	HLA-B37:01	2.762e+01	7.708e-02
HCC1143	HLA-C04:01	2.551e-02	3.216e-04
HCC1143	HLA-C06:02	1.929e+00	8.843e-03
HCC1937	HLA-A23:01	1.586e+01	2.751e-02
HCC1937	HLA-A24:02	1.230e+01	1.863e-02
HCC1937	HLA-B07:02	1.517e+02	1.681e-01
