sample	hla	p_ijk	pi
Apher1	HLA-A03:01	9.720e+02	7.912e-01
Apher1	HLA-A29:02	3.105e+01	3.166e-02
Apher1	HLA-B44:02	4.117e+01	4.845e-02
Apher1	HLA-B44:03	1.426e+02	1.253e-01
Apher1	HLA-C12:03	2.128e-01	7.898e-04
Apher1	HLA-C16:01	1.009e+00	2.620e-03
Apher6	HLA-A02:01	1.556e+01	4.550e-02
Apher6	HLA-A03:01	2.371e+02	6.098e-01
Apher6	HLA-B07:02	1.270e+02	3.423e-01
Apher6	HLA-C07:02	3.723e-01	2.364e-03
Bcell	HLA-A01:01	5.445e+01	2.623e-02
Bcell	HLA-A03:01	7.153e+02	2.784e-01
Bcell	HLA-B07:02	5.228e+02	2.172e-01
Bcell	HLA-B27:05	1.206e+03	4.574e-01
Bcell	HLA-C02:02	1.196e-01	3.714e-04
Bcell	HLA-C07:01	2.760e+01	2.049e-02
CA46	HLA-A26:03	7.110e-04	1.612e-05
CA46	HLA-B27:04	3.859e+02	8.413e-01
CA46	HLA-C12:02	7.009e+01	1.587e-01
CD165	HLA-A02:05	6.570e+02	5.820e-01
CD165	HLA-A24:02	3.376e+00	6.758e-03
CD165	HLA-B15:01	3.193e+02	3.262e-01
CD165	HLA-B50:01	4.544e+01	6.355e-02
CD165	HLA-C03:03	5.337e-02	3.713e-04
CD165	HLA-C06:02	9.875e+00	2.111e-02
CM467	HLA-A01:01	3.525e+01	3.384e-02
CM467	HLA-A24:02	8.321e+00	1.076e-02
CM467	HLA-B13:02	1.291e+03	8.531e-01
CM467	HLA-B39:06	9.803e+01	8.759e-02
CM467	HLA-C06:02	9.913e+00	1.378e-02
CM467	HLA-C12:03	3.310e-01	9.539e-04
Fibroblast	HLA-A03:01	1.295e+02	1.435e-01
Fibroblast	HLA-A23:01	7.839e+00	1.282e-02
Fibroblast	HLA-B08:01	8.505e+00	1.021e-02
Fibroblast	HLA-B15:18	2.599e+00	6.495e-03
Fibroblast	HLA-C07:02	5.543e-01	1.618e-03
Fibroblast	HLA-C07:04	8.610e+02	8.254e-01
GD149	HLA-A01:01	2.068e+02	1.162e-01
GD149	HLA-A24:02	1.125e+01	9.587e-03
GD149	HLA-B38:01	9.188e+02	4.598e-01
GD149	HLA-B44:03	7.285e+02	3.870e-01
GD149	HLA-C06:02	3.433e+01	2.660e-02
GD149	HLA-C12:03	3.571e-01	7.450e-04
HCC1143	HLA-A31:01	3.226e+02	6.016e-01
HCC1143	HLA-B35:08	1.165e+01	3.533e-02
HCC1143	HLA-B37:01	2.040e+02	3.466e-01
HCC1143	HLA-C04:01	2.223e-02	3.173e-04
HCC1143	HLA-C06:02	3.679e+00	1.623e-02
HCC1937	HLA-A23:01	1.630e+02	1.756e-01
HCC1937	HLA-A24:02	3.702e+01	5.063e-02
HCC1937	HLA-B07:02	1.708e+02	1.714e-01
HCC1937	HLA-B40:01	6.394e+02	5.936e-01
HCC1937	HLA-C03:04	1.316e-01	7.733e-04
